Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Yemen	11806		2143.0		8999.0		664.0	23.0	381.0	69.0	265253.0	8563.0	30975258.0	Asia
2022-04-03	Yemen	11806		2143.0		8999.0		664.0	23.0	381.0	69.0	265253.0	8563.0	30977057.0	Asia
2022-04-04	Yemen	11806		2143.0		8999.0		664.0	23.0	381.0	69.0	265253.0	8562.0	30978856.0	Asia
2022-04-05	Yemen	11808	2.0	2144.0	1.0	8999.0		665.0	23.0	381.0	69.0	265253.0	8562.0	30980655.0	Asia
2022-04-06	Yemen	11812	4.0	2144.0		8999.0		669.0	23.0	381.0	69.0	265253.0	8561.0	30982454.0	Asia
2022-04-07	Yemen	11812		2144.0		8999.0		669.0	23.0	381.0	69.0	265253.0	8561.0	30984253.0	Asia
2022-04-08	Yemen	11812		2145.0	1.0	8999.0		668.0	23.0	381.0	69.0	265253.0	8560.0	30986052.0	Asia
2022-04-09	Yemen	11812		2146.0	1.0	8999.0		667.0	23.0	381.0	69.0	265253.0	8560.0	30987851.0	Asia
2022-04-10	Yemen	11813	1.0	2147.0	1.0	8999.0		667.0	23.0	381.0	69.0	265253.0	8559.0	30989649.0	Asia
2022-04-11	Yemen	11813		2147.0		8999.0		667.0	23.0	381.0	69.0	265253.0	8559.0	30991448.0	Asia
2022-04-12	Yemen	11814	1.0	2147.0		9000.0	1.0	667.0	23.0	381.0	69.0	265253.0	8558.0	30993247.0	Asia
2022-04-13	Yemen	11814		2147.0		9000.0		667.0	23.0	381.0	69.0	265253.0	8558.0	30993247.0	Asia
2022-04-14	Yemen	11815	1.0	2147.0		9000.0		668.0	23.0	381.0	69.0	265253.0	8558.0	30993247.0	Asia
