Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Algeria	265679	8.0	6874.0	0	178296.0	8.0	80509.0	6.0	5873.0	152.0	230861.0	5103.0	45236699.0	Africa
2022-04-03	Algeria	265684	5.0	6874.0	0	178300.0	4.0	80510.0	6.0	5873.0	152.0	230861.0	5103.0	45238865.0	Africa
2022-04-04	Algeria	265691	7.0	6874.0	0	178305.0	5.0	80512.0	6.0	5873.0	152.0	230861.0	5103.0	45241031.0	Africa
2022-04-05	Algeria	265694	3.0	6874.0	0	178308.0	3.0	80512.0	6.0	5873.0	152.0	230861.0	5103.0	45243198.0	Africa
2022-04-06	Algeria	265699	5.0	6874.0	0	178312.0	4.0	80513.0	6.0	5872.0	152.0	230861.0	5102.0	45245364.0	Africa
2022-04-07	Algeria	265705	6.0	6874.0	0	178315.0	3.0	80516.0	6.0	5872.0	152.0	230861.0	5102.0	45247530.0	Africa
2022-04-08	Algeria	265707	2.0	6874.0	0	178318.0	3.0	80515.0	6.0	5872.0	152.0	230861.0	5102.0	45249696.0	Africa
2022-04-09	Algeria	265714	7.0	6874.0	0	178318.0	0.0	80522.0	6.0	5872.0	152.0	230861.0	5102.0	45251863.0	Africa
2022-04-10	Algeria	265720	6.0	6874.0	0	178319.0	1.0	80527.0	6.0	5872.0	152.0	230861.0	5101.0	45254029.0	Africa
2022-04-11	Algeria	265724	4.0	6874.0	0	178321.0	2.0	80529.0	6.0	5872.0	152.0	230861.0	5101.0	45256195.0	Africa
2022-04-12	Algeria	265730	3.0	6874.0	0	178327.0	4.0	80529.0	6.0	5871.0	152.0	230861.0	5101.0	45258362.0	Africa
2022-04-13	Algeria	265731	1.0	6874.0	0	178327.0	0.0	80530.0	6.0	5871.0	152.0	230861.0	5101.0	45260528.0	Africa
2022-04-14	Algeria	265733	2.0	6874.0	0	178329.0	2.0	80530.0	6.0	5871.0	152.0	230861.0	5100.0	45262694.0	Africa
2022-04-15	Algeria	265738	5.0	6874.0	0	178331.0	2.0	80533.0	6.0	5871.0	152.0	230861.0	5100.0	45262694.0	Africa
2022-04-16	Algeria	265738	0.0	6874.0	0	178331.0	0.0	80533.0	6.0	5871.0	152.0	230861.0	5100.0	45262694.0	Africa
