Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Angola	99194	25.0	1900.0	0	97149.0	5.0	145.0	0	2862.0	55.0	1499795.0	43279.0	34654212.0	Africa
2022-04-03	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2862.0	55.0	1499795.0	43275.0	34657018.0	Africa
2022-04-04	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2862.0	55.0	1499795.0	43272.0	34659825.0	Africa
2022-04-05	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2862.0	55.0	1499795.0	43268.0	34662631.0	Africa
2022-04-06	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2861.0	55.0	1499795.0	43265.0	34665438.0	Africa
2022-04-07	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2861.0	55.0	1499795.0	43261.0	34668244.0	Africa
2022-04-08	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2861.0	55.0	1499795.0	43258.0	34671051.0	Africa
2022-04-09	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2861.0	55.0	1499795.0	43254.0	34673857.0	Africa
2022-04-10	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2861.0	55.0	1499795.0	43251.0	34676664.0	Africa
2022-04-11	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2860.0	55.0	1499795.0	43247.0	34679470.0	Africa
2022-04-12	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2860.0	55.0	1499795.0	43244.0	34682277.0	Africa
2022-04-13	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2860.0	55.0	1499795.0	43240.0	34685083.0	Africa
2022-04-14	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2860.0	55.0	1499795.0	43237.0	34687890.0	Africa
2022-04-15	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2860.0	55.0	1499795.0	43237.0	34687890.0	Africa
2022-04-16	Angola	99194	0.0	1900.0	0	97149.0	0.0	145.0	0	2860.0	55.0	1499795.0	43237.0	34687890.0	Africa
