Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Anguilla	2700	0.0	9.0	0	2676.0	0.0	15.0	4.0	177200.0	591.0	51382.0	3372186.0	15237.0	North America
2022-04-03	Anguilla	2700	0.0	9.0	0	2676.0	0.0	15.0	4.0	177189.0	591.0	51382.0	3371965.0	15238.0	North America
2022-04-04	Anguilla	2700	0.0	9.0	0	2676.0	0.0	15.0	4.0	177189.0	591.0	51382.0	3371965.0	15238.0	North America
2022-04-05	Anguilla	2700	0.0	9.0	0	2676.0	0.0	15.0	4.0	177177.0	591.0	51382.0	3371744.0	15239.0	North America
2022-04-06	Anguilla	2717	17.0	9.0	0	2692.0	16.0	16.0	4.0	178293.0	591.0	51382.0	3371744.0	15239.0	North America
2022-04-07	Anguilla	2717	0.0	9.0	0	2692.0	0.0	16.0	4.0	178293.0	591.0	51382.0	3371744.0	15239.0	North America
2022-04-08	Anguilla	2717	0.0	9.0	0	2692.0	0.0	16.0	4.0	178281.0	591.0	51382.0	3371522.0	15240.0	North America
2022-04-09	Anguilla	2717	0.0	9.0	0	2692.0	0.0	16.0	4.0	178281.0	591.0	51382.0	3371522.0	15240.0	North America
2022-04-10	Anguilla	2717	0.0	9.0	0	2692.0	0.0	16.0	4.0	178281.0	591.0	51382.0	3371522.0	15240.0	North America
2022-04-11	Anguilla	2717	0.0	9.0	0	2692.0	0.0	16.0	4.0	178269.0	591.0	51382.0	3371301.0	15241.0	North America
2022-04-12	Anguilla	2731	0.0	9.0	0	2716.0	0.0	6.0	4.0	179188.0	591.0	51382.0	3371301.0	15241.0	North America
2022-04-13	Anguilla	2731	0.0	9.0	0	2716.0	0.0	6.0	4.0	179188.0	591.0	51382.0	3371301.0	15241.0	North America
2022-04-14	Anguilla	2731	0.0	9.0	0	2716.0	0.0	6.0	4.0	179176.0	590.0	51382.0	3371080.0	15242.0	North America
2022-04-15	Anguilla	2731	0.0	9.0	0	2716.0	0.0	6.0	4.0	179176.0	590.0	51382.0	3371080.0	15242.0	North America
2022-04-16	Anguilla	2731	0.0	9.0	0	2716.0	0.0	6.0	4.0	179176.0	590.0	51382.0	3371080.0	15242.0	North America
