Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Armenia	422540	21.0	8616.0	3.0	410042.0	55.0	3882.0	0	142129.0	2898.0	2977286.0	1001462.0	2972939.0	Asia
2022-04-03	Armenia	422563	23.0	8616.0	0.0	410080.0	38.0	3867.0	0	142136.0	2898.0	2979442.0	1002182.0	2972954.0	Asia
2022-04-04	Armenia	422574	11.0	8617.0	1.0	410106.0	26.0	3851.0	0	142139.0	2898.0	2981215.0	1002774.0	2972969.0	Asia
2022-04-05	Armenia	422581	7.0	8617.0	0.0	410124.0	18.0	3840.0	0	142140.0	2898.0	2983263.0	1003457.0	2972984.0	Asia
2022-04-06	Armenia	422594	13.0	8619.0	2.0	410229.0	105.0	3746.0	0	142144.0	2899.0	2985996.0	1004372.0	2972999.0	Asia
2022-04-07	Armenia	422610	16.0	8619.0	0.0	410252.0	23.0	3739.0	0	142149.0	2899.0	2988475.0	1005200.0	2973014.0	Asia
2022-04-08	Armenia	422629	19.0	8619.0	0.0	410270.0	18.0	3740.0	0	142154.0	2899.0	2991158.0	1006097.0	2973030.0	Asia
2022-04-09	Armenia	422643	14.0	8619.0	0.0	410295.0	25.0	3729.0	0	142158.0	2899.0	2993204.0	1006781.0	2973045.0	Asia
2022-04-10	Armenia	422662	19.0	8620.0	1.0	410310.0	15.0	3732.0	0	142164.0	2899.0	2996057.0	1007735.0	2973060.0	Asia
2022-04-11	Armenia	422677	15.0	8620.0	0.0	410324.0	14.0	3733.0	0	142168.0	2899.0	2998412.0	1008522.0	2973075.0	Asia
2022-04-12	Armenia	422691	13.0	8621.0	0.0	410365.0	24.0	3705.0	0	142172.0	2900.0	3003171.0	1010118.0	2973090.0	Asia
2022-04-13	Armenia	422711	20.0	8621.0	0.0	410387.0	22.0	3703.0	0	142178.0	2900.0	3005711.0	1010967.0	2973105.0	Asia
2022-04-14	Armenia	422721	10.0	8621.0	0.0	410393.0	6.0	3707.0	0	142181.0	2900.0	3007841.0	1011678.0	2973120.0	Asia
2022-04-15	Armenia	422729	8.0	8621.0	0.0	410420.0	27.0	3688.0	0	142184.0	2900.0	3011012.0	1012745.0	2973120.0	Asia
2022-04-16	Armenia	422729	0.0	8621.0	0.0	410420.0	0.0	3688.0	0	142184.0	2900.0	3011012.0	1012745.0	2973120.0	Asia
