Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Austria	3854405	23357.0	15905.0	40.0	3497957.0	42625.0	340543.0	391.0	423730.0	1749.0	176169662.0	19367050.0	9096360.0	Europe
2022-04-03	Austria	3873448	19043.0	15957.0	52.0	3537192.0	39235.0	320299.0	225.0	425817.0	1754.0	176630000.0	19417358.0	9096500.0	Europe
2022-04-04	Austria	3887355	13907.0	15985.0	28.0	3572230.0	35038.0	299140.0	224.0	427340.0	1757.0	176843630.0	19440544.0	9096640.0	Europe
2022-04-05	Austria	3899660	12305.0	16002.0	17.0	3607702.0	35472.0	275956.0	226.0	428686.0	1759.0	177031676.0	19460914.0	9096781.0	Europe
2022-04-06	Austria	3912606	12946.0	16061.0	59.0	3643590.0	35888.0	252955.0	224.0	430102.0	1766.0	177405999.0	19501763.0	9096921.0	Europe
2022-04-07	Austria	3933682	21076.0	16097.0	36.0	3674107.0	30517.0	243478.0	226.0	432412.0	1769.0	177765409.0	19540971.0	9097061.0	Europe
2022-04-08	Austria	3950161	16479.0	16141.0	44.0	3701204.0	27097.0	232816.0	201.0	434217.0	1774.0	178486429.0	19619928.0	9097201.0	Europe
2022-04-09	Austria	3964246	14085.0	16168.0	27.0	3729061.0	27857.0	219017.0	203.0	435759.0	1777.0	178678948.0	19640788.0	9097341.0	Europe
2022-04-10	Austria	3976750	12504.0	16208.0	40.0	3757730.0	28669.0	202812.0	208.0	437126.0	1782.0	179195293.0	19697243.0	9097481.0	Europe
2022-04-11	Austria	3987385	10635.0	16226.0	18.0	3779116.0	21386.0	192043.0	191.0	438289.0	1784.0	179365755.0	19715677.0	9097621.0	Europe
2022-04-12	Austria	4004069	8651.0	16286.0	44.0	3819238.0	19299.0	168545.0	192.0	440116.0	1790.0	179667360.0	19748523.0	9097762.0	Europe
2022-04-13	Austria	4016540	12471.0	16324.0	38.0	3839507.0	20269.0	160709.0	190.0	441480.0	1794.0	179853312.0	19768658.0	9097902.0	Europe
2022-04-14	Austria	4027023	10483.0	16359.0	35.0	3857030.0	17523.0	153634.0	187.0	442625.0	1798.0	180115697.0	19797193.0	9098042.0	Europe
2022-04-15	Austria	4036813	9790.0	16390.0	31.0	3873490.0	16460.0	146933.0	174.0	443701.0	1801.0	180245342.0	19811443.0	9098042.0	Europe
2022-04-16	Austria	4036813	0.0	16390.0	0.0	3873490.0	0.0	146933.0	174.0	443701.0	1801.0	180245342.0	19811443.0	9098042.0	Europe
