Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Bahamas	33291	8.0	788.0	0.0	32199.0	9.0	304.0	11.0	83265.0	1971.0	226807.0	567270.0	399822.0	North America
2022-04-03	Bahamas	33295	4.0	788.0	0.0	32202.0	3.0	305.0	11.0	83272.0	1971.0	226807.0	567256.0	399832.0	North America
2022-04-04	Bahamas	33295	0.0	788.0	0.0	32202.0	0.0	305.0	11.0	83270.0	1971.0	226807.0	567242.0	399842.0	North America
2022-04-05	Bahamas	33313	18.0	788.0	0.0	32208.0	6.0	317.0	11.0	83313.0	1971.0	226807.0	567227.0	399852.0	North America
2022-04-06	Bahamas	33314	1.0	788.0	0.0	32210.0	2.0	316.0	11.0	83314.0	1971.0	226807.0	567212.0	399863.0	North America
2022-04-07	Bahamas	33315	1.0	788.0	0.0	32214.0	4.0	313.0	11.0	83314.0	1971.0	226807.0	567198.0	399873.0	North America
2022-04-08	Bahamas	33330	15.0	788.0	0.0	32221.0	7.0	321.0	11.0	83349.0	1971.0	226807.0	567183.0	399883.0	North America
2022-04-09	Bahamas	33340	10.0	789.0	1.0	32229.0	8.0	322.0	11.0	83372.0	1973.0	228890.0	572378.0	399893.0	North America
2022-04-10	Bahamas	33346	6.0	789.0	0.0	32231.0	2.0	326.0	11.0	83385.0	1973.0	229025.0	572700.0	399904.0	North America
2022-04-11	Bahamas	33358	12.0	789.0	0.0	32237.0	6.0	332.0	11.0	83413.0	1973.0	229025.0	572686.0	399914.0	North America
2022-04-12	Bahamas	33366	6.0	789.0	0.0	32244.0	3.0	333.0	11.0	83431.0	1973.0	229025.0	572671.0	399924.0	North America
2022-04-13	Bahamas	33368	2.0	789.0	0.0	32253.0	9.0	326.0	11.0	83434.0	1973.0	229025.0	572657.0	399934.0	North America
2022-04-14	Bahamas	33372	4.0	789.0	0.0	32255.0	2.0	328.0	11.0	83441.0	1973.0	229025.0	572641.0	399945.0	North America
2022-04-15	Bahamas	33388	16.0	789.0	0.0	32258.0	3.0	341.0	11.0	83481.0	1973.0	229025.0	572641.0	399945.0	North America
2022-04-16	Bahamas	33388	0.0	789.0	0.0	32258.0	0.0	341.0	11.0	83481.0	1973.0	229025.0	572641.0	399945.0	North America
