Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Bahrain	555003	534.0	1471.0	0.0	547039.0	1000.0	6493.0	6.0	307482.0	815.0	9612317.0	5325398.0	1804995.0	Asia
2022-04-03	Bahrain	555560	557.0	1471.0	0.0	547812.0	773.0	6277.0	4.0	307763.0	815.0	9616218.0	5327078.0	1805158.0	Asia
2022-04-04	Bahrain	556241	681.0	1471.0	0.0	548777.0	965.0	5993.0	4.0	308112.0	815.0	9620989.0	5329243.0	1805320.0	Asia
2022-04-05	Bahrain	556763	522.0	1471.0	0.0	549994.0	1217.0	5298.0	4.0	308373.0	815.0	9624867.0	5330910.0	1805483.0	Asia
2022-04-06	Bahrain	557387	624.0	1472.0	1.0	550620.0	626.0	5295.0	3.0	308691.0	815.0	9628972.0	5332705.0	1805645.0	Asia
2022-04-07	Bahrain	558007	620.0	1472.0	0.0	551408.0	788.0	5127.0	3.0	309007.0	815.0	9633621.0	5334798.0	1805808.0	Asia
2022-04-08	Bahrain	558609	602.0	1472.0	0.0	552034.0	626.0	5103.0	3.0	309312.0	815.0	9637979.0	5336733.0	1805970.0	Asia
2022-04-09	Bahrain	559034	425.0	1472.0	0.0	552648.0	614.0	4914.0	3.0	309520.0	815.0	9641431.0	5338162.0	1806133.0	Asia
2022-04-10	Bahrain	559431	397.0	1472.0	0.0	553343.0	695.0	4616.0	4.0	309712.0	815.0	9644807.0	5339553.0	1806295.0	Asia
2022-04-11	Bahrain	560023	592.0	1473.0	1.0	554013.0	670.0	4537.0	4.0	310012.0	815.0	9649168.0	5341485.0	1806458.0	Asia
2022-04-12	Bahrain	561065	513.0	1473.0	0.0	555146.0	602.0	4446.0	5.0	310561.0	815.0	9657213.0	5345459.0	1806620.0	Asia
2022-04-13	Bahrain	561525	460.0	1473.0	0.0	555813.0	667.0	4239.0	3.0	310787.0	815.0	9662134.0	5347700.0	1806783.0	Asia
2022-04-14	Bahrain	561940	415.0	1473.0	0.0	556356.0	543.0	4111.0	3.0	310989.0	815.0	9666687.0	5349738.0	1806946.0	Asia
2022-04-15	Bahrain	562399	459.0	1473.0	0.0	556861.0	505.0	4065.0	3.0	311243.0	815.0	9669842.0	5351484.0	1806946.0	Asia
2022-04-16	Bahrain	562399	0.0	1473.0	0.0	556861.0	0.0	4065.0	3.0	311243.0	815.0	9669842.0	5351484.0	1806946.0	Asia
