Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Belize	57289	9.0	656.0	2.0	56383.0	38.0	250.0	6.0	139641.0	1599.0	523303.0	1275540.0	410260.0	North America
2022-04-03	Belize	57289	0.0	656.0	0.0	56383.0	0.0	250.0	6.0	139634.0	1599.0	523303.0	1275481.0	410279.0	North America
2022-04-04	Belize	57289	0.0	656.0	0.0	56383.0	0.0	250.0	6.0	139627.0	1599.0	523303.0	1275419.0	410299.0	North America
2022-04-05	Belize	57303	14.0	656.0	0.0	56444.0	61.0	203.0	6.0	139655.0	1599.0	524451.0	1278154.0	410319.0	North America
2022-04-06	Belize	57318	15.0	656.0	0.0	56456.0	12.0	206.0	6.0	139685.0	1599.0	525140.0	1279771.0	410339.0	North America
2022-04-07	Belize	57318	0.0	656.0	0.0	56456.0	0.0	206.0	6.0	139678.0	1599.0	525140.0	1279712.0	410358.0	North America
2022-04-08	Belize	57318	0.0	656.0	0.0	56456.0	0.0	206.0	6.0	139671.0	1599.0	525140.0	1279649.0	410378.0	North America
2022-04-09	Belize	57318	0.0	656.0	0.0	56456.0	0.0	206.0	6.0	139664.0	1598.0	525140.0	1279587.0	410398.0	North America
2022-04-10	Belize	57318	0.0	656.0	0.0	56456.0	0.0	206.0	6.0	139658.0	1598.0	525140.0	1279525.0	410418.0	North America
2022-04-11	Belize	57318	0.0	664.0	0.0	56456.0	0.0	198.0	6.0	139651.0	1618.0	525140.0	1279466.0	410437.0	North America
2022-04-12	Belize	57318	0.0	672.0	0.0	56466.0	10.0	180.0	6.0	139644.0	1637.0	529147.0	1289165.0	410457.0	North America
2022-04-13	Belize	57331	13.0	672.0	0.0	56473.0	7.0	186.0	6.0	139669.0	1637.0	529581.0	1290160.0	410477.0	North America
2022-04-14	Belize	57331	0.0	672.0	0.0	56473.0	0.0	186.0	6.0	139662.0	1637.0	529581.0	1290097.0	410497.0	North America
2022-04-15	Belize	57331	0.0	672.0	0.0	56473.0	0.0	186.0	6.0	139662.0	1637.0	529581.0	1290097.0	410497.0	North America
2022-04-16	Belize	57331	0.0	672.0	0.0	56473.0	0.0	186.0	6.0	139662.0	1637.0	529581.0	1290097.0	410497.0	North America
