Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2126.0	13.0	604310.0	47664.0	12678649.0	Africa
2022-04-03	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2126.0	13.0	604310.0	47660.0	12679519.0	Africa
2022-04-04	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2125.0	13.0	604310.0	47657.0	12680390.0	Africa
2022-04-05	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2125.0	13.0	604310.0	47654.0	12681260.0	Africa
2022-04-06	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2125.0	13.0	604310.0	47651.0	12682131.0	Africa
2022-04-07	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2125.0	13.0	604310.0	47647.0	12683002.0	Africa
2022-04-08	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2125.0	13.0	604310.0	47644.0	12683872.0	Africa
2022-04-09	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2125.0	13.0	604310.0	47641.0	12684743.0	Africa
2022-04-10	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2125.0	13.0	604310.0	47637.0	12685613.0	Africa
2022-04-11	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2124.0	13.0	604310.0	47634.0	12686484.0	Africa
2022-04-12	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2124.0	13.0	604310.0	47631.0	12687354.0	Africa
2022-04-13	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2124.0	13.0	604310.0	47628.0	12688225.0	Africa
2022-04-14	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2124.0	13.0	604310.0	47624.0	12689095.0	Africa
2022-04-15	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2124.0	13.0	604310.0	47624.0	12689095.0	Africa
2022-04-16	Benin	26952	0	163.0	0	25506.0	0	1283.0	5.0	2124.0	13.0	604310.0	47624.0	12689095.0	Africa
