Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	952.0	17.0	248995.0	11367.0	21905848.0	Africa
2022-04-03	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	952.0	17.0	248995.0	11366.0	21907420.0	Africa
2022-04-04	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	952.0	17.0	248995.0	11365.0	21908992.0	Africa
2022-04-05	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	952.0	17.0	248995.0	11364.0	21910564.0	Africa
2022-04-06	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	952.0	17.0	248995.0	11363.0	21912136.0	Africa
2022-04-07	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	952.0	17.0	248995.0	11363.0	21913708.0	Africa
2022-04-08	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	952.0	17.0	248995.0	11362.0	21915280.0	Africa
2022-04-09	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11361.0	21916852.0	Africa
2022-04-10	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11360.0	21918423.0	Africa
2022-04-11	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11359.0	21919995.0	Africa
2022-04-12	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11358.0	21921567.0	Africa
2022-04-13	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11358.0	21923139.0	Africa
2022-04-14	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11357.0	21924711.0	Africa
2022-04-15	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11357.0	21924711.0	Africa
2022-04-16	Burkina Faso	20853	0	382.0	0	20439.0	0	32.0	0	951.0	17.0	248995.0	11357.0	21924711.0	Africa
