Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Canada	3492916	8092.0	37671.0	47.0	3292189.0	5577.0	163056.0	386.0	91148.0	983.0	59464465.0	1551729.0	38321435.0	North America
2022-04-03	Canada	3496149	3233.0	37680.0	9.0	3294102.0	1913.0	164367.0	386.0	91230.0	983.0	59464465.0	1551692.0	38322338.0	North America
2022-04-04	Canada	3499226	3077.0	37690.0	10.0	3295953.0	1851.0	165583.0	386.0	91308.0	983.0	59464465.0	1551655.0	38323241.0	North America
2022-04-05	Canada	3510206	10980.0	37721.0	31.0	3304567.0	8614.0	167918.0	386.0	91593.0	984.0	59548322.0	1553807.0	38324144.0	North America
2022-04-06	Canada	3521753	11547.0	37772.0	51.0	3313633.0	9066.0	170348.0	386.0	91892.0	986.0	59642149.0	1556219.0	38325048.0	North America
2022-04-07	Canada	3535392	13639.0	37850.0	78.0	3318094.0	4461.0	179448.0	386.0	92245.0	988.0	59740722.0	1558754.0	38325951.0	North America
2022-04-08	Canada	3552283	16891.0	37935.0	85.0	3322837.0	4743.0	191511.0	386.0	92684.0	990.0	59788211.0	1559956.0	38326854.0	North America
2022-04-09	Canada	3560840	8557.0	37977.0	42.0	3328661.0	5824.0	194202.0	367.0	92905.0	991.0	59839826.0	1561266.0	38327757.0	North America
2022-04-10	Canada	3564637	3797.0	37988.0	11.0	3330961.0	2300.0	195688.0	367.0	93002.0	991.0	59839826.0	1561229.0	38328660.0	North America
2022-04-11	Canada	3574548	9911.0	38029.0	41.0	3339349.0	8388.0	197170.0	367.0	93258.0	992.0	59839826.0	1561192.0	38329563.0	North America
2022-04-12	Canada	3590601	11090.0	38095.0	51.0	3356639.0	11999.0	195867.0	407.0	93675.0	994.0	60047384.0	1566571.0	38330466.0	North America
2022-04-13	Canada	3604570	13969.0	38165.0	70.0	3361991.0	5352.0	204414.0	407.0	94037.0	996.0	60083036.0	1567464.0	38331370.0	North America
2022-04-14	Canada	3623785	19215.0	38288.0	123.0	3367618.0	5627.0	217879.0	407.0	94536.0	999.0	60149136.0	1569151.0	38332273.0	North America
2022-04-15	Canada	3623785	0.0	38288.0	0.0	3367618.0	0.0	217879.0	407.0	94536.0	999.0	60149136.0	1569151.0	38332273.0	North America
2022-04-16	Canada	3623785	0.0	38288.0	0.0	3367618.0	0.0	217879.0	407.0	94536.0	999.0	60149136.0	1569151.0	38332273.0	North America
