Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Cayman Islands	20606	0.0	24.0	0.0	8553.0	0	12029.0	1.0	307218.0	358.0	222773.0	3321351.0	67073.0	North America
2022-04-03	Cayman Islands	20606	0.0	24.0	0.0	8553.0	0	12029.0	1.0	307208.0	358.0	222773.0	3321252.0	67075.0	North America
2022-04-04	Cayman Islands	20606	0.0	24.0	0.0	8553.0	0	12029.0	1.0	307199.0	358.0	222773.0	3321153.0	67077.0	North America
2022-04-05	Cayman Islands	20606	0.0	24.0	0.0	8553.0	0	12029.0	1.0	307190.0	358.0	222773.0	3321054.0	67079.0	North America
2022-04-06	Cayman Islands	20606	0.0	24.0	0.0	8553.0	0	12029.0	1.0	307181.0	358.0	222773.0	3320955.0	67081.0	North America
2022-04-07	Cayman Islands	20606	0.0	24.0	0.0	8553.0	0	12029.0	1.0	307172.0	358.0	222773.0	3320856.0	67083.0	North America
2022-04-08	Cayman Islands	21121	515.0	25.0	1.0	8553.0	0	12543.0	1.0	314835.0	373.0	222773.0	3320708.0	67086.0	North America
2022-04-09	Cayman Islands	21121	0.0	25.0	0.0	8553.0	0	12543.0	1.0	314825.0	373.0	222773.0	3320609.0	67088.0	North America
2022-04-10	Cayman Islands	21121	0.0	25.0	0.0	8553.0	0	12543.0	1.0	314816.0	373.0	222773.0	3320510.0	67090.0	North America
2022-04-11	Cayman Islands	21121	0.0	25.0	0.0	8553.0	0	12543.0	1.0	314807.0	373.0	222773.0	3320411.0	67092.0	North America
2022-04-12	Cayman Islands	21121	0.0	25.0	0.0	8553.0	0	12543.0	1.0	314797.0	373.0	222773.0	3320312.0	67094.0	North America
2022-04-13	Cayman Islands	21121	0.0	25.0	0.0	8553.0	0	12543.0	1.0	314788.0	373.0	222773.0	3320213.0	67096.0	North America
2022-04-14	Cayman Islands	21406	285.0	26.0	1.0	8553.0	0	12827.0	1.0	319026.0	387.0	222773.0	3320114.0	67098.0	North America
2022-04-15	Cayman Islands	21406	0.0	26.0	0.0	8553.0	0	12827.0	1.0	319026.0	387.0	222773.0	3320114.0	67098.0	North America
2022-04-16	Cayman Islands	21406	0.0	26.0	0.0	8553.0	0	12827.0	1.0	319026.0	387.0	222773.0	3320114.0	67098.0	North America
