Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Chile	3476914	5978.0	56637.0	57.0	3042827.0	21584.0	377450.0	573.0	179190.0	2919.0	35577504.0	1833566.0	19403451.0	South America
2022-04-03	Chile	3482175	5261.0	56689.0	52.0	3067665.0	24838.0	357821.0	546.0	179457.0	2922.0	35648568.0	1837186.0	19403899.0	South America
2022-04-04	Chile	3486653	4478.0	56750.0	61.0	3090745.0	23080.0	339158.0	524.0	179684.0	2925.0	35713746.0	1840502.0	19404346.0	South America
2022-04-05	Chile	3489913	3260.0	56798.0	48.0	3112345.0	21600.0	320770.0	518.0	179848.0	2927.0	35757287.0	1842704.0	19404794.0	South America
2022-04-06	Chile	3492200	2287.0	56809.0	11.0	3131650.0	19305.0	303741.0	520.0	179962.0	2928.0	35790084.0	1844351.0	19405242.0	South America
2022-04-07	Chile	3496238	4038.0	56822.0	13.0	3145753.0	14103.0	293663.0	499.0	180166.0	2928.0	35850659.0	1847430.0	19405690.0	South America
2022-04-08	Chile	3500670	4432.0	56912.0	90.0	3157504.0	11751.0	286254.0	479.0	180390.0	2933.0	35923936.0	1851164.0	19406138.0	South America
2022-04-09	Chile	3504783	4113.0	56955.0	43.0	3173881.0	16377.0	273947.0	464.0	180598.0	2935.0	35991569.0	1854606.0	19406586.0	South America
2022-04-10	Chile	3508556	3773.0	56997.0	42.0	3193781.0	19900.0	257778.0	443.0	180788.0	2937.0	36053418.0	1857750.0	19407033.0	South America
2022-04-11	Chile	3512020	3464.0	57041.0	44.0	3212065.0	18284.0	242914.0	423.0	180962.0	2939.0	36115860.0	1860925.0	19407481.0	South America
2022-04-12	Chile	3515878	1587.0	57094.0	13.0	3244666.0	15231.0	214118.0	414.0	181157.0	2942.0	36191093.0	1864758.0	19407929.0	South America
2022-04-13	Chile	3518800	2922.0	57098.0	4.0	3257514.0	12848.0	204188.0	379.0	181303.0	2942.0	36244665.0	1867475.0	19408377.0	South America
2022-04-14	Chile	3522422	3622.0	57167.0	69.0	3266226.0	8712.0	199029.0	361.0	181486.0	2945.0	36308703.0	1870732.0	19408825.0	South America
2022-04-15	Chile	3525845	3423.0	57205.0	38.0	3280357.0	14131.0	188283.0	346.0	181662.0	2947.0	36365786.0	1873673.0	19408825.0	South America
2022-04-16	Chile	3525845	0.0	57205.0	0.0	3280319.0	0.0	188321.0	346.0	181662.0	2947.0	36365786.0	1873673.0	19408825.0	South America
