Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	China	151103	1827.0	4638.0	0	117159.0	1120.0	29306.0	66.0	105.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-03	China	153232	2129.0	4638.0	0	121466.0	4307.0	27128.0	58.0	106.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-04	China	154738	1506.0	4638.0	0	123933.0	2467.0	26167.0	57.0	108.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-05	China	156143	1405.0	4638.0	0	125781.0	1848.0	25724.0	54.0	108.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-06	China	157378	1235.0	4638.0	0	127680.0	1899.0	25060.0	63.0	109.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-07	China	158793	1415.0	4638.0	0	129590.0	1910.0	24565.0	75.0	110.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-08	China	160116	1323.0	4638.0	0	131355.0	1765.0	24123.0	85.0	111.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-09	China	161692	1576.0	4638.0	0	133222.0	1867.0	23832.0	77.0	112.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-10	China	163042	1350.0	4638.0	0	135218.0	1996.0	23186.0	79.0	113.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-11	China	164393	1351.0	4638.0	0	137166.0	1948.0	22589.0	80.0	114.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-12	China	166849	1272.0	4638.0	0	140220.0	1676.0	21991.0	77.0	116.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-13	China	168362	1513.0	4638.0	0	141898.0	1678.0	21826.0	87.0	117.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-14	China	171382	3020.0	4638.0	0	143922.0	2024.0	22822.0	78.0	119.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-15	China	174868	3486.0	4638.0	0	145352.0	1430.0	24878.0	76.0	121.0	3.0	160000000.0	111163.0	1439323776.0	Asia
2022-04-16	China	178764	3896.0	4638.0	0	148170.0	2818.0	25956.0	74.0	124.0	3.0	160000000.0	111163.0	1439323776.0	Asia
