Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	920.0	14.0	846704.0	8977.0	94323344.0	Africa
2022-04-03	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	920.0	14.0	846704.0	8976.0	94330817.0	Africa
2022-04-04	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	920.0	14.0	846704.0	8975.0	94338290.0	Africa
2022-04-05	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8974.0	94345763.0	Africa
2022-04-06	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8974.0	94353236.0	Africa
2022-04-07	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8973.0	94360709.0	Africa
2022-04-08	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8972.0	94368182.0	Africa
2022-04-09	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8972.0	94375655.0	Africa
2022-04-10	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8971.0	94383128.0	Africa
2022-04-11	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8970.0	94390601.0	Africa
2022-04-12	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8970.0	94398074.0	Africa
2022-04-13	DRC	86748	0.0	1337.0	0	50930.0	0	34481.0	0	919.0	14.0	846704.0	8969.0	94405547.0	Africa
2022-04-14	DRC	87023	275.0	1337.0	0	50930.0	0	34756.0	0	922.0	14.0	846704.0	8968.0	94413020.0	Africa
2022-04-15	DRC	87023	0.0	1337.0	0	50930.0	0	34756.0	0	922.0	14.0	846704.0	8968.0	94413020.0	Africa
2022-04-16	DRC	87023	0.0	1337.0	0	50930.0	0	34756.0	0	922.0	14.0	846704.0	8968.0	94413020.0	Africa
