Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Djibouti	15587	0.0	189.0	0	15391.0	0.0	7.0	0	15385.0	187.0	298261.0	294391.0	1013146.0	Africa
2022-04-03	Djibouti	15588	1.0	189.0	0	15391.0	0.0	8.0	0	15385.0	187.0	298521.0	294636.0	1013185.0	Africa
2022-04-04	Djibouti	15590	2.0	189.0	0	15396.0	5.0	5.0	0	15387.0	187.0	298739.0	294840.0	1013225.0	Africa
2022-04-05	Djibouti	15590	0.0	189.0	0	15396.0	0.0	5.0	0	15386.0	187.0	299041.0	295126.0	1013264.0	Africa
2022-04-06	Djibouti	15591	1.0	189.0	0	15396.0	0.0	6.0	0	15386.0	187.0	299332.0	295402.0	1013303.0	Africa
2022-04-07	Djibouti	15591	0.0	189.0	0	15398.0	2.0	4.0	0	15386.0	187.0	299614.0	295669.0	1013342.0	Africa
2022-04-08	Djibouti	15593	2.0	189.0	0	15398.0	0.0	6.0	0	15387.0	187.0	300050.0	296088.0	1013382.0	Africa
2022-04-09	Djibouti	15593	0.0	189.0	0	15399.0	1.0	5.0	0	15386.0	186.0	300291.0	296314.0	1013421.0	Africa
2022-04-10	Djibouti	15594	1.0	189.0	0	15401.0	2.0	4.0	0	15387.0	186.0	300468.0	296477.0	1013460.0	Africa
2022-04-11	Djibouti	15594	0.0	189.0	0	15401.0	0.0	4.0	0	15386.0	186.0	300702.0	296697.0	1013500.0	Africa
2022-04-12	Djibouti	15595	0.0	189.0	0	15404.0	2.0	2.0	0	15387.0	186.0	301133.0	297110.0	1013539.0	Africa
2022-04-13	Djibouti	15598	3.0	189.0	0	15404.0	0.0	5.0	0	15389.0	186.0	301567.0	297527.0	1013578.0	Africa
2022-04-14	Djibouti	15598	0.0	189.0	0	15404.0	0.0	5.0	0	15388.0	186.0	302030.0	297973.0	1013617.0	Africa
2022-04-15	Djibouti	15598	0.0	189.0	0	15404.0	0.0	5.0	0	15388.0	186.0	302030.0	297973.0	1013617.0	Africa
2022-04-16	Djibouti	15598	0.0	189.0	0	15404.0	0.0	5.0	0	15388.0	186.0	302030.0	297973.0	1013617.0	Africa
