Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Dominican Republic	578130	92.0	4375.0	0	573590.0	145.0	165.0	20.0	52375.0	396.0	3228620.0	292492.0	11038333.0	North America
2022-04-03	Dominican Republic	578130	0.0	4375.0	0	573590.0	0.0	165.0	20.0	52373.0	396.0	3228620.0	292484.0	11038630.0	North America
2022-04-04	Dominican Republic	578130	0.0	4375.0	0	573590.0	0.0	165.0	20.0	52372.0	396.0	3228620.0	292476.0	11038927.0	North America
2022-04-05	Dominican Republic	578209	79.0	4375.0	0	573703.0	113.0	131.0	20.0	52378.0	396.0	3233154.0	292879.0	11039224.0	North America
2022-04-06	Dominican Republic	578319	110.0	4375.0	0	573814.0	111.0	130.0	21.0	52386.0	396.0	3237860.0	293297.0	11039521.0	North America
2022-04-07	Dominican Republic	578319	0.0	4375.0	0	573814.0	0.0	130.0	21.0	52385.0	396.0	3237860.0	293289.0	11039818.0	North America
2022-04-08	Dominican Republic	578416	97.0	4375.0	0	573896.0	82.0	145.0	18.0	52392.0	396.0	3243299.0	293774.0	11040115.0	North America
2022-04-09	Dominican Republic	578416	0.0	4375.0	0	573896.0	0.0	145.0	18.0	52391.0	396.0	3243299.0	293766.0	11040412.0	North America
2022-04-10	Dominican Republic	578531	115.0	4375.0	0	574035.0	139.0	121.0	20.0	52400.0	396.0	3247359.0	294126.0	11040709.0	North America
2022-04-11	Dominican Republic	578531	0.0	4375.0	0	574035.0	0.0	121.0	20.0	52398.0	396.0	3247359.0	294118.0	11041006.0	North America
2022-04-12	Dominican Republic	578626	56.0	4375.0	0	574132.0	97.0	119.0	16.0	52406.0	396.0	3251191.0	294457.0	11041303.0	North America
2022-04-13	Dominican Republic	578626	0.0	4375.0	0	574132.0	0.0	119.0	16.0	52404.0	396.0	3251191.0	294449.0	11041600.0	North America
2022-04-14	Dominican Republic	578626	0.0	4375.0	0	574132.0	0.0	119.0	16.0	52403.0	396.0	3251191.0	294441.0	11041897.0	North America
2022-04-15	Dominican Republic	578626	0.0	4375.0	0	574132.0	0.0	119.0	16.0	52403.0	396.0	3251191.0	294441.0	11041897.0	North America
2022-04-16	Dominican Republic	578626	0.0	4375.0	0	574132.0	0.0	119.0	16.0	52403.0	396.0	3251191.0	294441.0	11041897.0	North America
