Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Ecuador	859890	0.0	35421.0	0.0	0	0	0	759.0	47476.0	1956.0	2470170.0	136384.0	18111933.0	South America
2022-04-03	Ecuador	862139	386.0	35449.0	5.0	0	0	0	759.0	47599.0	1957.0	2470170.0	136378.0	18112666.0	South America
2022-04-04	Ecuador	862321	182.0	35449.0	0.0	0	0	0	759.0	47607.0	1957.0	2470170.0	136373.0	18113398.0	South America
2022-04-05	Ecuador	862321	0.0	35449.0	0.0	0	0	0	759.0	47605.0	1957.0	2470170.0	136367.0	18114131.0	South America
2022-04-06	Ecuador	862321	0.0	35449.0	0.0	0	0	0	759.0	47603.0	1957.0	2470170.0	136362.0	18114863.0	South America
2022-04-07	Ecuador	863398	528.0	35461.0	12.0	0	0	0	759.0	47660.0	1957.0	2470170.0	136356.0	18115595.0	South America
2022-04-08	Ecuador	863398	0.0	35461.0	0.0	0	0	0	759.0	47659.0	1957.0	2470170.0	136350.0	18116328.0	South America
2022-04-09	Ecuador	863398	0.0	35461.0	0.0	0	0	0	759.0	47657.0	1957.0	2470170.0	136345.0	18117060.0	South America
2022-04-10	Ecuador	865187	1110.0	35508.0	41.0	0	0	0	759.0	47753.0	1960.0	2470170.0	136339.0	18117793.0	South America
2022-04-11	Ecuador	865263	76.0	35508.0	0.0	0	0	0	759.0	47756.0	1960.0	2470170.0	136334.0	18118525.0	South America
2022-04-12	Ecuador	865585	167.0	35513.0	4.0	0	0	0	759.0	47772.0	1960.0	2470170.0	136328.0	18119258.0	South America
2022-04-13	Ecuador	865585	0.0	35513.0	0.0	0	0	0	759.0	47770.0	1960.0	2470170.0	136323.0	18119990.0	South America
2022-04-14	Ecuador	865585	0.0	35513.0	0.0	0	0	0	759.0	47768.0	1960.0	2470170.0	136317.0	18120722.0	South America
2022-04-15	Ecuador	865585	0.0	35513.0	0.0	0	0	0	759.0	47768.0	1960.0	2470170.0	136317.0	18120722.0	South America
2022-04-16	Ecuador	865585	0.0	35513.0	0.0	0	0	0	759.0	47768.0	1960.0	2470170.0	136317.0	18120722.0	South America
