Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Equatorial Guinea	15903	0.0	183.0	0	15693.0	0.0	27.0	5.0	10719.0	123.0	301203.0	203023.0	1483588.0	Africa
2022-04-03	Equatorial Guinea	15903	0.0	183.0	0	15693.0	0.0	27.0	5.0	10718.0	123.0	301203.0	203006.0	1483714.0	Africa
2022-04-04	Equatorial Guinea	15903	0.0	183.0	0	15693.0	0.0	27.0	5.0	10717.0	123.0	301203.0	202989.0	1483841.0	Africa
2022-04-05	Equatorial Guinea	15903	0.0	183.0	0	15693.0	0.0	27.0	5.0	10717.0	123.0	301203.0	202971.0	1483968.0	Africa
2022-04-06	Equatorial Guinea	15904	1.0	183.0	0	15696.0	3.0	25.0	5.0	10716.0	123.0	303365.0	204411.0	1484094.0	Africa
2022-04-07	Equatorial Guinea	15904	0.0	183.0	0	15696.0	0.0	25.0	5.0	10715.0	123.0	303365.0	204393.0	1484221.0	Africa
2022-04-08	Equatorial Guinea	15904	0.0	183.0	0	15696.0	0.0	25.0	5.0	10714.0	123.0	303365.0	204376.0	1484347.0	Africa
2022-04-09	Equatorial Guinea	15904	0.0	183.0	0	15696.0	0.0	25.0	5.0	10714.0	123.0	303365.0	204359.0	1484474.0	Africa
2022-04-10	Equatorial Guinea	15904	0.0	183.0	0	15696.0	0.0	25.0	5.0	10713.0	123.0	303365.0	204341.0	1484600.0	Africa
2022-04-11	Equatorial Guinea	15904	0.0	183.0	0	15696.0	0.0	25.0	5.0	10712.0	123.0	303365.0	204324.0	1484727.0	Africa
2022-04-12	Equatorial Guinea	15904	0.0	183.0	0	15696.0	0.0	25.0	5.0	10711.0	123.0	303365.0	204306.0	1484854.0	Africa
2022-04-13	Equatorial Guinea	15906	2.0	183.0	0	15697.0	1.0	26.0	5.0	10711.0	123.0	307847.0	207307.0	1484980.0	Africa
2022-04-14	Equatorial Guinea	15906	0.0	183.0	0	15697.0	0.0	26.0	5.0	10710.0	123.0	307847.0	207289.0	1485107.0	Africa
2022-04-15	Equatorial Guinea	15906	0.0	183.0	0	15697.0	0.0	26.0	5.0	10710.0	123.0	307847.0	207289.0	1485107.0	Africa
2022-04-16	Equatorial Guinea	15906	0.0	183.0	0	15697.0	0.0	26.0	5.0	10710.0	123.0	307847.0	207289.0	1485107.0	Africa
