Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Eritrea	9728	0.0	103.0	0	9623.0	3.0	2.0	0	2678.0	28.0	23693.0	6523.0	3632329.0	Africa
2022-04-03	Eritrea	9728	0.0	103.0	0	9623.0	0.0	2.0	0	2678.0	28.0	23693.0	6523.0	3632463.0	Africa
2022-04-04	Eritrea	9728	0.0	103.0	0	9623.0	0.0	2.0	0	2678.0	28.0	23693.0	6522.0	3632597.0	Africa
2022-04-05	Eritrea	9728	0.0	103.0	0	9623.0	0.0	2.0	0	2678.0	28.0	23693.0	6522.0	3632731.0	Africa
2022-04-06	Eritrea	9728	0.0	103.0	0	9623.0	0.0	2.0	0	2678.0	28.0	23693.0	6522.0	3632865.0	Africa
2022-04-07	Eritrea	9728	0.0	103.0	0	9623.0	0.0	2.0	0	2678.0	28.0	23693.0	6522.0	3632999.0	Africa
2022-04-08	Eritrea	9728	0.0	103.0	0	9623.0	0.0	2.0	0	2678.0	28.0	23693.0	6521.0	3633134.0	Africa
2022-04-09	Eritrea	9728	0.0	103.0	0	9623.0	0.0	2.0	0	2677.0	28.0	23693.0	6521.0	3633268.0	Africa
2022-04-10	Eritrea	9729	1.0	103.0	0	9625.0	2.0	1.0	0	2678.0	28.0	23693.0	6521.0	3633402.0	Africa
2022-04-11	Eritrea	9731	2.0	103.0	0	9625.0	0.0	3.0	0	2678.0	28.0	23693.0	6521.0	3633536.0	Africa
2022-04-12	Eritrea	9732	0.0	103.0	0	9625.0	0.0	4.0	0	2678.0	28.0	23693.0	6520.0	3633670.0	Africa
2022-04-13	Eritrea	9733	1.0	103.0	0	9626.0	1.0	4.0	0	2678.0	28.0	23693.0	6520.0	3633804.0	Africa
2022-04-14	Eritrea	9733	0.0	103.0	0	9626.0	0.0	4.0	0	2678.0	28.0	23693.0	6520.0	3633938.0	Africa
2022-04-15	Eritrea	9733	0.0	103.0	0	9626.0	0.0	4.0	0	2678.0	28.0	23693.0	6520.0	3633938.0	Africa
2022-04-16	Eritrea	9733	0.0	103.0	0	9626.0	0.0	4.0	0	2678.0	28.0	23693.0	6520.0	3633938.0	Africa
