Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Eswatini	69832	61.0	1394.0	0.0	68313.0	34.0	125.0	11.0	59120.0	1180.0	1001784.0	848113.0	1181191.0	Africa
2022-04-03	Eswatini	69838	6.0	1394.0	0.0	68326.0	13.0	118.0	11.0	59123.0	1180.0	1002507.0	848702.0	1181224.0	Africa
2022-04-04	Eswatini	69851	13.0	1394.0	0.0	68349.0	23.0	108.0	11.0	59133.0	1180.0	1003000.0	849095.0	1181257.0	Africa
2022-04-05	Eswatini	69862	11.0	1394.0	0.0	68374.0	25.0	94.0	11.0	59140.0	1180.0	1004439.0	850290.0	1181290.0	Africa
2022-04-06	Eswatini	69897	35.0	1395.0	1.0	68379.0	5.0	123.0	11.0	59168.0	1181.0	1005006.0	850747.0	1181322.0	Africa
2022-04-07	Eswatini	69927	30.0	1395.0	0.0	68380.0	1.0	152.0	11.0	59192.0	1181.0	1005589.0	851217.0	1181355.0	Africa
2022-04-08	Eswatini	69947	20.0	1395.0	0.0	68388.0	8.0	164.0	11.0	59207.0	1181.0	1005982.0	851525.0	1181388.0	Africa
2022-04-09	Eswatini	69959	12.0	1395.0	0.0	68411.0	23.0	153.0	11.0	59216.0	1181.0	1006513.0	851951.0	1181421.0	Africa
2022-04-10	Eswatini	69966	7.0	1395.0	0.0	68439.0	28.0	132.0	11.0	59220.0	1181.0	1006950.0	852297.0	1181454.0	Africa
2022-04-11	Eswatini	69968	2.0	1395.0	0.0	68487.0	48.0	86.0	11.0	59220.0	1181.0	1007248.0	852526.0	1181486.0	Africa
2022-04-12	Eswatini	70014	24.0	1395.0	0.0	68554.0	6.0	65.0	11.0	59258.0	1181.0	1008047.0	853179.0	1181519.0	Africa
2022-04-13	Eswatini	70048	34.0	1395.0	0.0	68567.0	13.0	86.0	11.0	59285.0	1181.0	1008368.0	853427.0	1181552.0	Africa
2022-04-14	Eswatini	70072	24.0	1395.0	0.0	68578.0	11.0	99.0	11.0	59303.0	1181.0	1008825.0	853790.0	1181585.0	Africa
2022-04-15	Eswatini	70097	25.0	1395.0	0.0	68613.0	35.0	89.0	11.0	59325.0	1181.0	1009214.0	854119.0	1181585.0	Africa
2022-04-16	Eswatini	70097	0.0	1395.0	0.0	68613.0	0.0	89.0	11.0	59325.0	1181.0	1009214.0	854119.0	1181585.0	Africa
