Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Faeroe Islands	34237	0.0	28.0	0	7693.0	0	26516.0	5.0	696044.0	569.0	778000.0	15816866.0	49188.0	Europe
2022-04-03	Faeroe Islands	34237	0.0	28.0	0	7693.0	0	26516.0	5.0	696044.0	569.0	778000.0	15816866.0	49188.0	Europe
2022-04-04	Faeroe Islands	34237	0.0	28.0	0	7693.0	0	26516.0	5.0	696030.0	569.0	778000.0	15816544.0	49189.0	Europe
2022-04-05	Faeroe Islands	34658	421.0	28.0	0	7693.0	0	26937.0	5.0	704588.0	569.0	778000.0	15816544.0	49189.0	Europe
2022-04-06	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704574.0	569.0	778000.0	15816223.0	49190.0	Europe
2022-04-07	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704574.0	569.0	778000.0	15816223.0	49190.0	Europe
2022-04-08	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704560.0	569.0	778000.0	15815901.0	49191.0	Europe
2022-04-09	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704560.0	569.0	778000.0	15815901.0	49191.0	Europe
2022-04-10	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704545.0	569.0	778000.0	15815580.0	49192.0	Europe
2022-04-11	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704545.0	569.0	778000.0	15815580.0	49192.0	Europe
2022-04-12	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704531.0	569.0	778000.0	15815258.0	49193.0	Europe
2022-04-13	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704517.0	569.0	778000.0	15814937.0	49194.0	Europe
2022-04-14	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704517.0	569.0	778000.0	15814937.0	49194.0	Europe
2022-04-15	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704517.0	569.0	778000.0	15814937.0	49194.0	Europe
2022-04-16	Faeroe Islands	34658	0.0	28.0	0	7693.0	0	26937.0	5.0	704517.0	569.0	778000.0	15814937.0	49194.0	Europe
