Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Finland	889626	5950.0	3178.0	34.0	46000.0	0	840448.0	32.0	160126.0	572.0	10437451.0	1878663.0	5555788.0	Europe
2022-04-03	Finland	889626	0.0	3178.0	0.0	46000.0	0	840448.0	32.0	160125.0	572.0	10437451.0	1878654.0	5555812.0	Europe
2022-04-04	Finland	889626	0.0	3178.0	0.0	46000.0	0	840448.0	32.0	160125.0	572.0	10437451.0	1878647.0	5555835.0	Europe
2022-04-05	Finland	901336	11710.0	3252.0	74.0	46000.0	0	852084.0	40.0	162232.0	585.0	10457113.0	1882178.0	5555859.0	Europe
2022-04-06	Finland	907786	6450.0	3254.0	2.0	46000.0	0	858532.0	40.0	163392.0	586.0	10483383.0	1886898.0	5555882.0	Europe
2022-04-07	Finland	913476	5690.0	3307.0	53.0	46000.0	0	864169.0	45.0	164415.0	595.0	10497812.0	1889487.0	5555906.0	Europe
2022-04-08	Finland	920692	7216.0	3334.0	27.0	46000.0	0	871358.0	42.0	165713.0	600.0	10512930.0	1892200.0	5555929.0	Europe
2022-04-09	Finland	920692	0.0	3334.0	0.0	46000.0	0	871358.0	33.0	165713.0	600.0	10512930.0	1892192.0	5555953.0	Europe
2022-04-10	Finland	920692	0.0	3334.0	0.0	46000.0	0	871358.0	33.0	165712.0	600.0	10512930.0	1892184.0	5555976.0	Europe
2022-04-11	Finland	920692	0.0	3334.0	0.0	46000.0	0	871358.0	33.0	165711.0	600.0	10512930.0	1892176.0	5555999.0	Europe
2022-04-12	Finland	920692	0.0	3334.0	0.0	46000.0	0	871358.0	33.0	165711.0	600.0	10512930.0	1892168.0	5556023.0	Europe
2022-04-13	Finland	920692	0.0	3334.0	0.0	46000.0	0	871358.0	33.0	165710.0	600.0	10512930.0	1892160.0	5556046.0	Europe
2022-04-14	Finland	949583	28891.0	3517.0	183.0	46000.0	0	900066.0	29.0	170909.0	633.0	10591416.0	1906278.0	5556070.0	Europe
2022-04-15	Finland	949583	0.0	3517.0	0.0	46000.0	0	900066.0	29.0	170909.0	633.0	10591416.0	1906278.0	5556070.0	Europe
2022-04-16	Finland	949583	0.0	3517.0	0.0	46000.0	0	900066.0	29.0	170909.0	633.0	10591416.0	1906278.0	5556070.0	Europe
