Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Georgia	1648653	407.0	16748.0	3.0	1626296.0	1303.0	5609.0	0	414676.0	4213.0	16414209.0	4128569.0	3975762.0	Asia
2022-04-03	Georgia	1649005	352.0	16751.0	3.0	1627366.0	1070.0	4888.0	0	414767.0	4213.0	16431552.0	4132953.0	3975741.0	Asia
2022-04-04	Georgia	1649222	217.0	16756.0	5.0	1627958.0	592.0	4508.0	0	414823.0	4215.0	16444613.0	4136260.0	3975720.0	Asia
2022-04-05	Georgia	1649430	208.0	16758.0	2.0	1628643.0	685.0	4029.0	0	414878.0	4215.0	16449797.0	4137585.0	3975700.0	Asia
2022-04-06	Georgia	1650008	578.0	16761.0	3.0	1629032.0	389.0	4215.0	0	415025.0	4216.0	16474337.0	4143779.0	3975679.0	Asia
2022-04-07	Georgia	1650384	376.0	16765.0	4.0	1629266.0	234.0	4353.0	0	415122.0	4217.0	16498490.0	4149877.0	3975658.0	Asia
2022-04-08	Georgia	1650708	324.0	16765.0	0.0	1629987.0	721.0	3956.0	0	415206.0	4217.0	16521115.0	4155589.0	3975637.0	Asia
2022-04-09	Georgia	1650981	273.0	16766.0	1.0	1630564.0	577.0	3651.0	0	415277.0	4217.0	16541897.0	4160839.0	3975616.0	Asia
2022-04-10	Georgia	1651322	341.0	16770.0	4.0	1631009.0	445.0	3543.0	0	415365.0	4218.0	16565335.0	4166756.0	3975595.0	Asia
2022-04-11	Georgia	1651470	148.0	16771.0	1.0	1631434.0	425.0	3265.0	0	415404.0	4219.0	16574189.0	4169004.0	3975575.0	Asia
2022-04-12	Georgia	1651969	392.0	16779.0	2.0	1631846.0	131.0	3344.0	0	415532.0	4221.0	16602816.0	4176227.0	3975554.0	Asia
2022-04-13	Georgia	1652235	266.0	16781.0	2.0	1632194.0	348.0	3260.0	0	415601.0	4221.0	16627678.0	4182503.0	3975533.0	Asia
2022-04-14	Georgia	1652472	237.0	16783.0	2.0	1632842.0	648.0	2847.0	0	415663.0	4222.0	16650610.0	4188293.0	3975512.0	Asia
2022-04-15	Georgia	1652707	235.0	16788.0	5.0	1633338.0	496.0	2581.0	0	415722.0	4223.0	16670928.0	4193404.0	3975512.0	Asia
2022-04-16	Georgia	1652707	0.0	16788.0	0.0	1633338.0	0.0	2581.0	0	415722.0	4223.0	16670928.0	4193404.0	3975512.0	Asia
