Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Gibraltar	16979	47.0	101.0	0	16359.0	110.0	519.0	3.0	504232.0	2999.0	533498.0	15843495.0	33673.0	Europe
2022-04-03	Gibraltar	16979	0.0	101.0	0	16359.0	0.0	519.0	3.0	504232.0	2999.0	533498.0	15843495.0	33673.0	Europe
2022-04-04	Gibraltar	16979	0.0	101.0	0	16359.0	0.0	519.0	3.0	504232.0	2999.0	533498.0	15843495.0	33673.0	Europe
2022-04-05	Gibraltar	17073	94.0	101.0	0	16526.0	167.0	446.0	3.0	507023.0	2999.0	534115.0	15861818.0	33673.0	Europe
2022-04-06	Gibraltar	17120	47.0	101.0	0	16579.0	53.0	440.0	3.0	508419.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-07	Gibraltar	17188	68.0	101.0	0	16579.0	0.0	508.0	3.0	510439.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-08	Gibraltar	17236	48.0	101.0	0	16579.0	0.0	556.0	3.0	511864.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-09	Gibraltar	17236	0.0	101.0	0	16579.0	0.0	556.0	3.0	511864.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-10	Gibraltar	17236	0.0	101.0	0	16579.0	0.0	556.0	0.0	511864.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-11	Gibraltar	17236	0.0	101.0	0	16579.0	0.0	556.0	0.0	511864.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-12	Gibraltar	17236	0.0	101.0	0	16579.0	0.0	556.0	0.0	511864.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-13	Gibraltar	17236	0.0	101.0	0	16579.0	0.0	556.0	0.0	511864.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-14	Gibraltar	17494	258.0	101.0	0	16579.0	0.0	814.0	0.0	519526.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-15	Gibraltar	17494	0.0	101.0	0	16579.0	0.0	814.0	0.0	519526.0	2999.0	534283.0	15866807.0	33673.0	Europe
2022-04-16	Gibraltar	17494	0.0	101.0	0	16579.0	0.0	814.0	0.0	519526.0	2999.0	534283.0	15866807.0	33673.0	Europe
