Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Guatemala	829881	1007.0	17318.0	6.0	803621.0	1584.0	8942.0	5.0	44869.0	936.0	4252266.0	229908.0	18495493.0	North America
2022-04-03	Guatemala	830745	864.0	17325.0	7.0	804950.0	1329.0	8470.0	5.0	44914.0	937.0	4252266.0	229897.0	18496400.0	North America
2022-04-04	Guatemala	830933	188.0	17327.0	2.0	805678.0	728.0	7928.0	5.0	44922.0	937.0	4264033.0	230522.0	18497306.0	North America
2022-04-05	Guatemala	831149	216.0	17329.0	2.0	806258.0	580.0	7562.0	5.0	44931.0	937.0	4267475.0	230697.0	18498213.0	North America
2022-04-06	Guatemala	832159	1010.0	17338.0	9.0	807873.0	1615.0	6948.0	5.0	44984.0	937.0	4279413.0	231331.0	18499120.0	North America
2022-04-07	Guatemala	832956	797.0	17350.0	12.0	809154.0	1281.0	6452.0	5.0	45025.0	938.0	4289592.0	231869.0	18500027.0	North America
2022-04-08	Guatemala	833723	767.0	17361.0	11.0	810370.0	1216.0	5992.0	5.0	45064.0	938.0	4299794.0	232410.0	18500933.0	North America
2022-04-09	Guatemala	834481	758.0	17367.0	6.0	811430.0	1060.0	5684.0	5.0	45103.0	939.0	4310621.0	232983.0	18501840.0	North America
2022-04-10	Guatemala	835213	732.0	17373.0	6.0	812444.0	1014.0	5396.0	5.0	45140.0	939.0	4319488.0	233451.0	18502747.0	North America
2022-04-11	Guatemala	835338	125.0	17377.0	4.0	812888.0	444.0	5073.0	5.0	45144.0	939.0	4322582.0	233607.0	18503654.0	North America
2022-04-12	Guatemala	836234	809.0	17400.0	21.0	814383.0	1073.0	4451.0	5.0	45191.0	940.0	4335116.0	234273.0	18504560.0	North America
2022-04-13	Guatemala	837087	853.0	17411.0	11.0	815470.0	1087.0	4206.0	5.0	45235.0	941.0	4345675.0	234832.0	18505467.0	North America
2022-04-14	Guatemala	837326	239.0	17416.0	5.0	816058.0	588.0	3852.0	5.0	45245.0	941.0	4348667.0	234982.0	18506374.0	North America
2022-04-15	Guatemala	837377	51.0	17422.0	6.0	816403.0	345.0	3552.0	5.0	45248.0	941.0	4350058.0	235057.0	18506374.0	North America
2022-04-16	Guatemala	837377	0.0	17422.0	0.0	816403.0	0.0	3552.0	5.0	45248.0	941.0	4350058.0	235057.0	18506374.0	North America
