Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Haiti	30547	0.0	833.0	0.0	28531.0	0.0	1183.0	0	2623.0	72.0	132422.0	11371.0	11645833.0	North America
2022-04-03	Haiti	30549	2.0	833.0	0.0	28645.0	114.0	1071.0	0	2623.0	72.0	132422.0	11370.0	11646213.0	North America
2022-04-04	Haiti	30549	0.0	833.0	0.0	28645.0	0.0	1071.0	0	2623.0	72.0	132422.0	11370.0	11646592.0	North America
2022-04-05	Haiti	30567	18.0	833.0	0.0	28745.0	100.0	989.0	0	2624.0	72.0	132422.0	11370.0	11646972.0	North America
2022-04-06	Haiti	30567	0.0	833.0	0.0	28745.0	0.0	989.0	0	2624.0	72.0	132422.0	11369.0	11647352.0	North America
2022-04-07	Haiti	30575	8.0	833.0	0.0	28975.0	230.0	767.0	0	2625.0	72.0	132422.0	11369.0	11647731.0	North America
2022-04-08	Haiti	30575	0.0	833.0	0.0	28975.0	0.0	767.0	0	2625.0	72.0	132422.0	11369.0	11648111.0	North America
2022-04-09	Haiti	30578	3.0	834.0	1.0	29044.0	69.0	700.0	0	2625.0	72.0	132422.0	11368.0	11648491.0	North America
2022-04-10	Haiti	30585	7.0	835.0	1.0	29082.0	38.0	668.0	0	2626.0	72.0	132422.0	11368.0	11648871.0	North America
2022-04-11	Haiti	30585	0.0	835.0	0.0	29082.0	0.0	668.0	0	2625.0	72.0	132422.0	11367.0	11649250.0	North America
2022-04-12	Haiti	30586	0.0	835.0	0.0	29100.0	0.0	651.0	0	2625.0	72.0	132422.0	11367.0	11649630.0	North America
2022-04-13	Haiti	30586	0.0	835.0	0.0	29100.0	0.0	651.0	0	2625.0	72.0	132422.0	11367.0	11650010.0	North America
2022-04-14	Haiti	30586	0.0	835.0	0.0	29100.0	0.0	651.0	0	2625.0	72.0	132422.0	11366.0	11650389.0	North America
2022-04-15	Haiti	30594	8.0	835.0	0.0	29176.0	76.0	583.0	0	2626.0	72.0	132422.0	11366.0	11650389.0	North America
2022-04-16	Haiti	30594	0.0	835.0	0.0	29176.0	0.0	583.0	0	2626.0	72.0	132422.0	11366.0	11650389.0	North America
