Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Honduras	421062	0	10880.0	0	131100.0	0	279082.0	105.0	41360.0	1069.0	1263329.0	124095.0	10180299.0	North America
2022-04-03	Honduras	421062	0	10880.0	0	131100.0	0	279082.0	105.0	41359.0	1069.0	1263329.0	124090.0	10180730.0	North America
2022-04-04	Honduras	421062	0	10880.0	0	131100.0	0	279082.0	105.0	41357.0	1069.0	1263329.0	124085.0	10181160.0	North America
2022-04-05	Honduras	421062	0	10880.0	0	131100.0	0	279082.0	105.0	41355.0	1069.0	1263329.0	124080.0	10181591.0	North America
2022-04-06	Honduras	421062	0	10880.0	0	131100.0	0	279082.0	105.0	41353.0	1069.0	1263329.0	124074.0	10182022.0	North America
2022-04-07	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41372.0	1069.0	1263329.0	124069.0	10182452.0	North America
2022-04-08	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41370.0	1069.0	1263329.0	124064.0	10182883.0	North America
2022-04-09	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41368.0	1069.0	1263329.0	124059.0	10183314.0	North America
2022-04-10	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41367.0	1069.0	1263329.0	124053.0	10183745.0	North America
2022-04-11	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41365.0	1069.0	1263329.0	124048.0	10184175.0	North America
2022-04-12	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41363.0	1069.0	1263329.0	124043.0	10184606.0	North America
2022-04-13	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41361.0	1069.0	1263329.0	124038.0	10185037.0	North America
2022-04-14	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41360.0	1069.0	1263329.0	124032.0	10185468.0	North America
2022-04-15	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41360.0	1069.0	1263329.0	124032.0	10185468.0	North America
2022-04-16	Honduras	421268	0	10888.0	0	131100.0	0	279280.0	105.0	41360.0	1069.0	1263329.0	124032.0	10185468.0	North America
