Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Hungary	1854198	2327.0	45510.0	40.0	1709370.0	2644.0	99318.0	56.0	192796.0	4732.0	11127382.0	1157004.0	9617409.0	Europe
2022-04-03	Hungary	1854198	0.0	45510.0	0.0	1709370.0	0.0	99318.0	56.0	192797.0	4732.0	11127382.0	1157012.0	9617343.0	Europe
2022-04-04	Hungary	1854198	0.0	45510.0	0.0	1709370.0	0.0	99318.0	56.0	192799.0	4732.0	11127382.0	1157020.0	9617276.0	Europe
2022-04-05	Hungary	1854198	0.0	45510.0	0.0	1709370.0	0.0	99318.0	56.0	192800.0	4732.0	11127382.0	1157028.0	9617209.0	Europe
2022-04-06	Hungary	1860159	5961.0	45611.0	101.0	1717268.0	7898.0	97280.0	49.0	193421.0	4743.0	11158930.0	1160317.0	9617142.0	Europe
2022-04-07	Hungary	1863039	2880.0	45647.0	36.0	1720497.0	3229.0	96895.0	49.0	193722.0	4746.0	11168674.0	1161338.0	9617076.0	Europe
2022-04-08	Hungary	1865607	2568.0	45684.0	37.0	1723020.0	2523.0	96903.0	51.0	193990.0	4750.0	11180076.0	1162532.0	9617009.0	Europe
2022-04-09	Hungary	1868007	2400.0	45721.0	37.0	1725324.0	2304.0	96962.0	50.0	194241.0	4754.0	11191893.0	1163768.0	9616942.0	Europe
2022-04-10	Hungary	1868007	0.0	45721.0	0.0	1725324.0	0.0	96962.0	50.0	194243.0	4754.0	11191893.0	1163776.0	9616876.0	Europe
2022-04-11	Hungary	1868007	0.0	45721.0	0.0	1725324.0	0.0	96962.0	50.0	194244.0	4754.0	11191893.0	1163784.0	9616809.0	Europe
2022-04-12	Hungary	1874206	1542.0	45812.0	31.0	1735929.0	4113.0	92465.0	51.0	194890.0	4764.0	11225020.0	1167237.0	9616742.0	Europe
2022-04-13	Hungary	1876946	2740.0	45838.0	26.0	1742051.0	6122.0	89057.0	47.0	195176.0	4767.0	11233362.0	1168113.0	9616675.0	Europe
2022-04-14	Hungary	1879480	2534.0	45865.0	27.0	1748707.0	6656.0	84908.0	50.0	195441.0	4769.0	11244573.0	1169287.0	9616609.0	Europe
2022-04-15	Hungary	1879480	0.0	45865.0	0.0	1748707.0	0.0	84908.0	50.0	195441.0	4769.0	11244573.0	1169287.0	9616609.0	Europe
2022-04-16	Hungary	1879480	0.0	45865.0	0.0	1748707.0	0.0	84908.0	50.0	195441.0	4769.0	11244573.0	1169287.0	9616609.0	Europe
