Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	India	43027035	1260.0	521293.0	82.0	42492326.0	1404.0	13416.0	8944.0	30651.0	371.0	789770958.0	562613.0	1403754381.0	Asia
2022-04-03	India	43028131	1096.0	521374.0	81.0	42493773.0	1447.0	12984.0	8944.0	30651.0	371.0	790298979.0	562975.0	1403791421.0	Asia
2022-04-04	India	43029044	913.0	521388.0	14.0	42495089.0	1316.0	12567.0	8944.0	30651.0	371.0	790764883.0	563292.0	1403828461.0	Asia
2022-04-05	India	43029839	795.0	521446.0	58.0	42496369.0	1280.0	12024.0	8944.0	30651.0	371.0	791079706.0	563501.0	1403865502.0	Asia
2022-04-06	India	43030925	1086.0	521518.0	72.0	42497567.0	1198.0	11840.0	8944.0	30651.0	371.0	791546038.0	563818.0	1403902542.0	Asia
2022-04-07	India	43031958	1033.0	521560.0	42.0	42498789.0	1222.0	11609.0	8944.0	30651.0	371.0	792027412.0	564146.0	1403939582.0	Asia
2022-04-08	India	43033067	1109.0	521604.0	44.0	42500002.0	1213.0	11461.0	8944.0	30651.0	372.0	792509451.0	564475.0	1403976623.0	Asia
2022-04-09	India	43034217	1150.0	521686.0	82.0	42501196.0	1194.0	11335.0	8944.0	30651.0	372.0	792963033.0	564783.0	1404013663.0	Asia
2022-04-10	India	43035271	1054.0	521695.0	9.0	42502454.0	1258.0	11122.0	698.0	30651.0	372.0	793429395.0	565100.0	1404050703.0	Asia
2022-04-11	India	43036132	861.0	521722.0	27.0	42503383.0	929.0	11027.0	698.0	30651.0	372.0	793847740.0	565383.0	1404087743.0	Asia
2022-04-12	India	43038016	1088.0	521746.0	23.0	42505410.0	1081.0	10860.0	698.0	30651.0	372.0	794118951.0	565562.0	1404124784.0	Asia
2022-04-13	India	43039023	1007.0	521767.0	21.0	42506228.0	818.0	11028.0	698.0	30651.0	372.0	794525202.0	565836.0	1404161824.0	Asia
2022-04-14	India	43039972	949.0	521772.0	5.0	42507038.0	810.0	11162.0	698.0	30651.0	372.0	794525202.0	565821.0	1404198864.0	Asia
2022-04-15	India	43040947	975.0	521776.0	4.0	42507834.0	796.0	11337.0	698.0	30652.0	372.0	794525202.0	565821.0	1404198864.0	Asia
2022-04-16	India	43040947	0.0	521776.0	0.0	42507834.0	0.0	11337.0	698.0	30652.0	372.0	794525202.0	565821.0	1404198864.0	Asia
