Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Italy	14720003	74959.0	159537.0	154.0	13288370.0	82443.0	1272096.0	476.0	244088.0	2645.0	201422918.0	3340004.0	60306185.0	Europe
2022-04-03	Italy	14792227	72224.0	159666.0	129.0	13353529.0	65159.0	1279032.0	493.0	245286.0	2648.0	201899959.0	3347928.0	60305943.0	Europe
2022-04-04	Italy	14846514	54287.0	159784.0	118.0	13402015.0	48486.0	1284715.0	489.0	246188.0	2650.0	202264141.0	3353980.0	60305701.0	Europe
2022-04-05	Italy	14877885	31371.0	160628.0	126.0	13442930.0	40915.0	1274327.0	483.0	246709.0	2664.0	203647359.0	3376931.0	60305460.0	Europe
2022-04-06	Italy	14966665	88780.0	160823.0	195.0	13531567.0	88637.0	1274275.0	471.0	248182.0	2667.0	204235935.0	3386704.0	60305218.0	Europe
2022-04-07	Italy	15036470	69805.0	160973.0	150.0	13601404.0	69837.0	1274093.0	466.0	249340.0	2669.0	204697383.0	3394370.0	60304976.0	Europe
2022-04-08	Italy	15107172	70702.0	160402.0	150.0	13692608.0	91204.0	1254162.0	471.0	250514.0	2660.0	205167186.0	3402174.0	60304734.0	Europe
2022-04-09	Italy	15174136	66964.0	160546.0	144.0	13763554.0	70946.0	1250036.0	462.0	251625.0	2662.0	205609215.0	3409517.0	60304492.0	Europe
2022-04-10	Italy	15238795	64659.0	160658.0	112.0	13839605.0	76051.0	1238532.0	462.0	252699.0	2664.0	206047664.0	3416802.0	60304250.0	Europe
2022-04-11	Italy	15292385	53590.0	160748.0	90.0	13884744.0	45139.0	1246893.0	465.0	253588.0	2666.0	206399929.0	3422657.0	60304008.0	Europe
2022-04-12	Italy	15405358	84192.0	161032.0	169.0	14015032.0	87904.0	1229294.0	463.0	255463.0	2670.0	207155729.0	3435204.0	60303766.0	Europe
2022-04-13	Italy	15468061	62703.0	161187.0	155.0	14078350.0	63318.0	1228524.0	449.0	256503.0	2673.0	207575724.0	3442182.0	60303524.0	Europe
2022-04-14	Italy	15533747	65686.0	161336.0	149.0	14144014.0	65664.0	1228397.0	420.0	257594.0	2675.0	208014099.0	3449466.0	60303282.0	Europe
2022-04-15	Italy	15595302	61555.0	161469.0	133.0	14214909.0	70895.0	1218924.0	419.0	258614.0	2678.0	208411581.0	3456057.0	60303282.0	Europe
2022-04-16	Italy	15595302	0.0	161469.0	0.0	14214909.0	0.0	1218924.0	419.0	258614.0	2678.0	208411581.0	3456057.0	60303282.0	Europe
