Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Ivory Coast	81741	0.0	796.0	0	80913.0	0.0	32.0	0	2970.0	29.0	1471872.0	53482.0	27520953.0	Africa
2022-04-03	Ivory Coast	81761	20.0	796.0	0	80924.0	11.0	41.0	0	2971.0	29.0	1474554.0	53576.0	27522743.0	Africa
2022-04-04	Ivory Coast	81761	0.0	796.0	0	80924.0	0.0	41.0	0	2970.0	29.0	1474554.0	53572.0	27524533.0	Africa
2022-04-05	Ivory Coast	81771	10.0	796.0	0	80935.0	11.0	40.0	0	2971.0	29.0	1476458.0	53638.0	27526323.0	Africa
2022-04-06	Ivory Coast	81780	9.0	796.0	0	80945.0	10.0	39.0	0	2971.0	29.0	1477408.0	53669.0	27528114.0	Africa
2022-04-07	Ivory Coast	81780	0.0	796.0	0	80945.0	0.0	39.0	0	2971.0	29.0	1477408.0	53666.0	27529904.0	Africa
2022-04-08	Ivory Coast	81800	20.0	796.0	0	80956.0	11.0	48.0	0	2971.0	29.0	1479541.0	53740.0	27531694.0	Africa
2022-04-09	Ivory Coast	81803	3.0	796.0	0	80962.0	6.0	45.0	0	2971.0	29.0	1480745.0	53780.0	27533484.0	Africa
2022-04-10	Ivory Coast	81814	11.0	796.0	0	80978.0	16.0	40.0	0	2971.0	29.0	1481474.0	53803.0	27535274.0	Africa
2022-04-11	Ivory Coast	81828	14.0	796.0	0	80985.0	7.0	47.0	0	2972.0	29.0	1482520.0	53837.0	27537064.0	Africa
2022-04-12	Ivory Coast	81834	5.0	797.0	0	81001.0	12.0	36.0	0	2972.0	29.0	1484042.0	53889.0	27538854.0	Africa
2022-04-13	Ivory Coast	81838	4.0	797.0	0	81004.0	3.0	37.0	0	2972.0	29.0	1485035.0	53922.0	27540644.0	Africa
2022-04-14	Ivory Coast	81842	4.0	797.0	0	81009.0	5.0	36.0	0	2971.0	29.0	1485838.0	53947.0	27542434.0	Africa
2022-04-15	Ivory Coast	81849	7.0	797.0	0	81020.0	11.0	32.0	0	2972.0	29.0	1487207.0	53997.0	27542434.0	Africa
2022-04-16	Ivory Coast	81849	0.0	797.0	0	81020.0	0.0	32.0	0	2972.0	29.0	1487207.0	53997.0	27542434.0	Africa
