Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Jamaica	128786	29.0	2889.0	1.0	81207.0	78.0	44690.0	0	43162.0	968.0	929300.0	311449.0	2983794.0	North America
2022-04-03	Jamaica	128811	25.0	2893.0	4.0	81282.0	75.0	44636.0	0	43170.0	970.0	931763.0	312271.0	2983829.0	North America
2022-04-04	Jamaica	128811	0.0	2893.0	0.0	81282.0	0.0	44636.0	0	43169.0	970.0	931763.0	312267.0	2983864.0	North America
2022-04-05	Jamaica	128869	58.0	2897.0	4.0	81425.0	143.0	44547.0	0	43188.0	971.0	936937.0	313998.0	2983899.0	North America
2022-04-06	Jamaica	128880	11.0	2898.0	1.0	81425.0	0.0	44557.0	0	43191.0	971.0	936937.0	313994.0	2983935.0	North America
2022-04-07	Jamaica	128924	44.0	2899.0	1.0	81588.0	163.0	44437.0	0	43206.0	972.0	941163.0	315406.0	2983970.0	North America
2022-04-08	Jamaica	128950	26.0	2901.0	2.0	81671.0	83.0	44378.0	0	43214.0	972.0	941163.0	315403.0	2984005.0	North America
2022-04-09	Jamaica	128972	22.0	2902.0	1.0	81812.0	141.0	44258.0	0	43221.0	973.0	945271.0	316776.0	2984040.0	North America
2022-04-10	Jamaica	128972	0.0	2902.0	0.0	81812.0	0.0	44258.0	0	43220.0	972.0	945271.0	316772.0	2984076.0	North America
2022-04-11	Jamaica	129020	48.0	2914.0	12.0	81812.0	0.0	44294.0	0	43236.0	977.0	945271.0	316768.0	2984111.0	North America
2022-04-12	Jamaica	129093	43.0	2917.0	1.0	82094.0	77.0	44082.0	0	43260.0	977.0	955357.0	320144.0	2984146.0	North America
2022-04-13	Jamaica	129108	15.0	2919.0	2.0	82176.0	82.0	44013.0	0	43264.0	978.0	957157.0	320744.0	2984181.0	North America
2022-04-14	Jamaica	129133	25.0	2921.0	2.0	82282.0	106.0	43930.0	0	43272.0	979.0	957157.0	320740.0	2984217.0	North America
2022-04-15	Jamaica	129168	35.0	2924.0	3.0	82365.0	83.0	43879.0	0	43284.0	980.0	961699.0	322262.0	2984217.0	North America
2022-04-16	Jamaica	129168	0.0	2924.0	0.0	82365.0	0.0	43879.0	0	43284.0	980.0	961699.0	322262.0	2984217.0	North America
