Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Japan	6552920	48047.0	28097.0	87.0	6083056.0	34973.0	441767.0	533.0	52091.0	223.0	43413502.0	345103.0	125798669.0	Asia
2022-04-03	Japan	6606464	53544.0	28200.0	103.0	6122400.0	39344.0	455864.0	518.0	52517.0	224.0	43606340.0	346639.0	125797616.0	Asia
2022-04-04	Japan	6653841	47377.0	28248.0	48.0	6164792.0	42392.0	460801.0	518.0	52894.0	225.0	43717117.0	347522.0	125796563.0	Asia
2022-04-05	Japan	6702086	48245.0	28286.0	38.0	6203522.0	38730.0	470278.0	505.0	53278.0	225.0	43766415.0	347917.0	125795510.0	Asia
2022-04-06	Japan	6735920	33834.0	28327.0	41.0	6245827.0	42305.0	461766.0	508.0	53547.0	225.0	43901851.0	348997.0	125794456.0	Asia
2022-04-07	Japan	6778235	42315.0	28387.0	60.0	6286380.0	40553.0	463468.0	508.0	53884.0	226.0	44088712.0	350485.0	125793403.0	Asia
2022-04-08	Japan	6832377	54142.0	28456.0	69.0	6329017.0	42637.0	474904.0	494.0	54315.0	226.0	44223732.0	351561.0	125792350.0	Asia
2022-04-09	Japan	6887421	55044.0	28528.0	72.0	6369339.0	40322.0	489554.0	484.0	54753.0	227.0	44376538.0	352779.0	125791297.0	Asia
2022-04-10	Japan	6939525	52104.0	28590.0	62.0	6422199.0	52860.0	488736.0	489.0	55167.0	227.0	44561970.0	354256.0	125790243.0	Asia
2022-04-11	Japan	6991687	52162.0	28646.0	56.0	6468100.0	45901.0	494941.0	484.0	55583.0	228.0	44669396.0	355113.0	125789190.0	Asia
2022-04-12	Japan	7072699	33136.0	28721.0	37.0	6546376.0	36778.0	497602.0	467.0	56227.0	228.0	44834262.0	356427.0	125788137.0	Asia
2022-04-13	Japan	7124030	51331.0	28765.0	44.0	6591109.0	44733.0	504156.0	468.0	56636.0	229.0	44996843.0	357722.0	125787084.0	Asia
2022-04-14	Japan	7181768	57738.0	28825.0	60.0	6642021.0	50912.0	510922.0	467.0	57095.0	229.0	45167148.0	359079.0	125786031.0	Asia
2022-04-15	Japan	7237050	55282.0	28884.0	59.0	6682153.0	40132.0	526013.0	230.0	57535.0	230.0	45346052.0	360501.0	125786031.0	Asia
2022-04-16	Japan	7287343	50293.0	28945.0	61.0	6738172.0	56019.0	520226.0	222.0	57934.0	230.0	45528128.0	361949.0	125786031.0	Asia
