Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Kazakhstan	1305151	16.0	13659.0	0.0	1289810.0	117.0	1682.0	528.0	68084.0	713.0	11575012.0	603814.0	19169833.0	Asia
2022-04-03	Kazakhstan	1305170	19.0	13660.0	1.0	1289882.0	72.0	1628.0	528.0	68082.0	713.0	11575012.0	603795.0	19170447.0	Asia
2022-04-04	Kazakhstan	1305188	18.0	13660.0	0.0	1289965.0	83.0	1563.0	528.0	68081.0	713.0	11575012.0	603775.0	19171060.0	Asia
2022-04-05	Kazakhstan	1305199	11.0	13660.0	0.0	1290035.0	70.0	1504.0	528.0	68080.0	713.0	11575012.0	603756.0	19171674.0	Asia
2022-04-06	Kazakhstan	1305214	15.0	13660.0	0.0	1290108.0	73.0	1446.0	528.0	68078.0	712.0	11575012.0	603737.0	19172287.0	Asia
2022-04-07	Kazakhstan	1305229	15.0	13660.0	0.0	1290278.0	170.0	1291.0	528.0	68077.0	712.0	11575012.0	603717.0	19172901.0	Asia
2022-04-08	Kazakhstan	1305245	16.0	13660.0	0.0	1290364.0	86.0	1221.0	528.0	68075.0	712.0	11575012.0	603698.0	19173514.0	Asia
2022-04-09	Kazakhstan	1305265	20.0	13660.0	0.0	1290404.0	40.0	1201.0	528.0	68074.0	712.0	11575012.0	603679.0	19174128.0	Asia
2022-04-10	Kazakhstan	1305279	14.0	13660.0	0.0	1290502.0	98.0	1117.0	528.0	68073.0	712.0	11575012.0	603659.0	19174741.0	Asia
2022-04-11	Kazakhstan	1305292	13.0	13660.0	0.0	1290521.0	19.0	1111.0	24.0	68071.0	712.0	11575012.0	603640.0	19175355.0	Asia
2022-04-12	Kazakhstan	1305315	11.0	13660.0	0.0	1290679.0	151.0	976.0	24.0	68070.0	712.0	11575012.0	603621.0	19175968.0	Asia
2022-04-13	Kazakhstan	1305327	12.0	13660.0	0.0	1290720.0	41.0	947.0	24.0	68069.0	712.0	11575012.0	603601.0	19176582.0	Asia
2022-04-14	Kazakhstan	1305343	16.0	13660.0	0.0	1290758.0	38.0	925.0	24.0	68067.0	712.0	11575012.0	603582.0	19177195.0	Asia
2022-04-15	Kazakhstan	1305355	12.0	13660.0	0.0	1290785.0	27.0	910.0	24.0	68068.0	712.0	11575012.0	603582.0	19177195.0	Asia
2022-04-16	Kazakhstan	1305375	20.0	13660.0	0.0	1290790.0	5.0	925.0	24.0	68069.0	712.0	11575012.0	603582.0	19177195.0	Asia
