Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Laos	179563	2665.0	669.0	4.0	7660.0	0	171234.0	0	24069.0	90.0	1023002.0	137125.0	7460338.0	Asia
2022-04-03	Laos	181967	2404.0	673.0	4.0	7660.0	0	173634.0	0	24390.0	90.0	1023002.0	137120.0	7460626.0	Asia
2022-04-04	Laos	183560	1593.0	679.0	6.0	7660.0	0	175221.0	0	24603.0	91.0	1023002.0	137115.0	7460915.0	Asia
2022-04-05	Laos	184598	1038.0	682.0	3.0	7660.0	0	176256.0	0	24741.0	91.0	1023002.0	137110.0	7461204.0	Asia
2022-04-06	Laos	186870	2272.0	682.0	0.0	7660.0	0	178528.0	0	25045.0	91.0	1023002.0	137104.0	7461492.0	Asia
2022-04-07	Laos	188984	2114.0	684.0	2.0	7660.0	0	180640.0	0	25327.0	92.0	1027633.0	137720.0	7461781.0	Asia
2022-04-08	Laos	191018	2034.0	687.0	3.0	7660.0	0	182671.0	0	25599.0	92.0	1032460.0	138361.0	7462069.0	Asia
2022-04-09	Laos	192860	1842.0	690.0	3.0	7660.0	0	184510.0	0	25844.0	92.0	1032460.0	138356.0	7462358.0	Asia
2022-04-10	Laos	194541	1681.0	692.0	2.0	7660.0	0	186189.0	0	26069.0	93.0	1032460.0	138350.0	7462647.0	Asia
2022-04-11	Laos	195465	924.0	698.0	6.0	7660.0	0	187107.0	0	26191.0	94.0	1032460.0	138345.0	7462935.0	Asia
2022-04-12	Laos	197389	1262.0	702.0	2.0	7660.0	0	189027.0	0	26448.0	94.0	1032460.0	138340.0	7463224.0	Asia
2022-04-13	Laos	198346	957.0	707.0	5.0	7660.0	0	189979.0	0	26575.0	95.0	1230778.0	164906.0	7463512.0	Asia
2022-04-14	Laos	198980	634.0	709.0	2.0	7660.0	0	190611.0	0	26659.0	95.0	1230778.0	164900.0	7463801.0	Asia
2022-04-15	Laos	199434	454.0	712.0	3.0	7660.0	0	191062.0	0	26720.0	95.0	1232128.0	165080.0	7463801.0	Asia
2022-04-16	Laos	199434	0.0	712.0	0.0	7660.0	0	191062.0	0	26720.0	95.0	1232128.0	165080.0	7463801.0	Asia
