Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15152.0	321.0	431221.0	198538.0	2171978.0	Africa
2022-04-03	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15152.0	321.0	431221.0	198534.0	2172024.0	Africa
2022-04-04	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15151.0	321.0	431221.0	198530.0	2172070.0	Africa
2022-04-05	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15151.0	321.0	431221.0	198526.0	2172117.0	Africa
2022-04-06	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15151.0	321.0	431221.0	198521.0	2172163.0	Africa
2022-04-07	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15150.0	321.0	431221.0	198517.0	2172209.0	Africa
2022-04-08	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15150.0	321.0	431221.0	198513.0	2172256.0	Africa
2022-04-09	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15150.0	321.0	431221.0	198509.0	2172302.0	Africa
2022-04-10	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15150.0	321.0	431221.0	198505.0	2172348.0	Africa
2022-04-11	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15149.0	321.0	431221.0	198500.0	2172395.0	Africa
2022-04-12	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15149.0	321.0	431221.0	198496.0	2172441.0	Africa
2022-04-13	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15149.0	321.0	431221.0	198492.0	2172487.0	Africa
2022-04-14	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15148.0	321.0	431221.0	198488.0	2172534.0	Africa
2022-04-15	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15148.0	321.0	431221.0	198488.0	2172534.0	Africa
2022-04-16	Lesotho	32910	0	697.0	0	24155.0	0	8058.0	0	15148.0	321.0	431221.0	198488.0	2172534.0	Africa
