Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26554.0	5265647.0	Africa
2022-04-03	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26552.0	5265972.0	Africa
2022-04-04	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26551.0	5266298.0	Africa
2022-04-05	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26549.0	5266624.0	Africa
2022-04-06	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26547.0	5266949.0	Africa
2022-04-07	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26546.0	5267275.0	Africa
2022-04-08	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26544.0	5267601.0	Africa
2022-04-09	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26543.0	5267926.0	Africa
2022-04-10	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26541.0	5268252.0	Africa
2022-04-11	Liberia	7400	0	294.0	0	5747.0	0	1359.0	2.0	1405.0	56.0	139824.0	26539.0	5268578.0	Africa
2022-04-12	Liberia	7402	0	294.0	0	5747.0	0	1361.0	2.0	1405.0	56.0	139824.0	26538.0	5268903.0	Africa
2022-04-13	Liberia	7402	0	294.0	0	5747.0	0	1361.0	2.0	1405.0	56.0	139824.0	26536.0	5269229.0	Africa
2022-04-14	Liberia	7402	0	294.0	0	5747.0	0	1361.0	2.0	1405.0	56.0	139824.0	26534.0	5269555.0	Africa
2022-04-15	Liberia	7402	0	294.0	0	5747.0	0	1361.0	2.0	1405.0	56.0	139824.0	26534.0	5269555.0	Africa
2022-04-16	Liberia	7402	0	294.0	0	5747.0	0	1361.0	2.0	1405.0	56.0	139824.0	26534.0	5269555.0	Africa
