Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Luxembourg	216979	1148.0	1037.0	1.0	196469.0	1380.0	19473.0	3.0	337028.0	1611.0	4165411.0	6470029.0	643801.0	Europe
2022-04-03	Luxembourg	216979	0.0	1037.0	0.0	196469.0	0.0	19473.0	3.0	337013.0	1611.0	4165411.0	6469747.0	643829.0	Europe
2022-04-04	Luxembourg	216979	0.0	1037.0	0.0	196469.0	0.0	19473.0	3.0	336999.0	1611.0	4165411.0	6469476.0	643856.0	Europe
2022-04-05	Luxembourg	219390	2411.0	1041.0	4.0	200236.0	3767.0	18113.0	3.0	340729.0	1617.0	4171848.0	6479192.0	643884.0	Europe
2022-04-06	Luxembourg	220034	644.0	1042.0	1.0	200508.0	272.0	18484.0	3.0	341714.0	1618.0	4174339.0	6482779.0	643912.0	Europe
2022-04-07	Luxembourg	221555	1521.0	1042.0	0.0	201346.0	838.0	19167.0	5.0	344062.0	1618.0	4178453.0	6488886.0	643940.0	Europe
2022-04-08	Luxembourg	222804	1249.0	1042.0	0.0	202630.0	1284.0	19132.0	4.0	345986.0	1618.0	4181654.0	6493574.0	643968.0	Europe
2022-04-09	Luxembourg	223666	862.0	1045.0	3.0	204847.0	2217.0	17774.0	4.0	347310.0	1623.0	4184582.0	6497838.0	643996.0	Europe
2022-04-10	Luxembourg	223666	0.0	1045.0	0.0	204847.0	0.0	17774.0	4.0	347295.0	1623.0	4184582.0	6497556.0	644024.0	Europe
2022-04-11	Luxembourg	223666	0.0	1045.0	0.0	204847.0	0.0	17774.0	4.0	347280.0	1623.0	4184582.0	6497284.0	644051.0	Europe
2022-04-12	Luxembourg	226339	777.0	1051.0	1.0	210026.0	51.0	15262.0	3.0	351415.0	1632.0	4191996.0	6508512.0	644079.0	Europe
2022-04-13	Luxembourg	227528	1189.0	1052.0	1.0	211131.0	1105.0	15345.0	3.0	353246.0	1633.0	4195400.0	6513514.0	644107.0	Europe
2022-04-14	Luxembourg	228536	1008.0	1053.0	1.0	212838.0	1707.0	14645.0	3.0	354795.0	1635.0	4195400.0	6513231.0	644135.0	Europe
2022-04-15	Luxembourg	229311	775.0	1054.0	1.0	214556.0	1718.0	13701.0	4.0	355998.0	1636.0	4200517.0	6521175.0	644135.0	Europe
2022-04-16	Luxembourg	229311	0.0	1054.0	0.0	214556.0	0.0	13701.0	4.0	355998.0	1636.0	4200517.0	6521175.0	644135.0	Europe
