Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Malaysia	4219395	17476.0	35013.0	30.0	3977403.0	17321.0	206979.0	263.0	127506.0	1058.0	56243263.0	1699612.0	33091831.0	Asia
2022-04-03	Malaysia	4234087	14692.0	35069.0	56.0	3997786.0	20383.0	201232.0	261.0	127945.0	1060.0	56587537.0	1709957.0	33092964.0	Asia
2022-04-04	Malaysia	4246467	12380.0	35099.0	30.0	4018421.0	20635.0	192947.0	253.0	128315.0	1061.0	56788636.0	1715975.0	33094097.0	Asia
2022-04-05	Malaysia	4256469	10002.0	35127.0	28.0	4041723.0	23302.0	179619.0	236.0	128613.0	1061.0	56884042.0	1718799.0	33095230.0	Asia
2022-04-06	Malaysia	4268486	12017.0	35160.0	33.0	4062154.0	20431.0	171172.0	234.0	128971.0	1062.0	56960067.0	1721037.0	33096363.0	Asia
2022-04-07	Malaysia	4280591	12105.0	35192.0	32.0	4083183.0	21029.0	162216.0	221.0	129333.0	1063.0	57090261.0	1724912.0	33097496.0	Asia
2022-04-08	Malaysia	4292585	11994.0	35228.0	36.0	4099786.0	16603.0	157571.0	197.0	129691.0	1064.0	57195409.0	1728030.0	33098629.0	Asia
2022-04-09	Malaysia	4307529	14944.0	35259.0	31.0	4113831.0	14045.0	158439.0	206.0	130138.0	1065.0	57291591.0	1730876.0	33099762.0	Asia
2022-04-10	Malaysia	4317706	10177.0	35280.0	21.0	4128963.0	15132.0	153463.0	195.0	130441.0	1066.0	57387773.0	1733723.0	33100895.0	Asia
2022-04-11	Malaysia	4325818	8112.0	35292.0	12.0	4144728.0	15765.0	145798.0	174.0	130681.0	1066.0	57465179.0	1736002.0	33102028.0	Asia
2022-04-12	Malaysia	4342559	9002.0	35341.0	30.0	4180763.0	16986.0	126455.0	151.0	131183.0	1068.0	57608005.0	1740257.0	33103161.0	Asia
2022-04-13	Malaysia	4352611	10052.0	35363.0	22.0	4196656.0	15893.0	120592.0	161.0	131482.0	1068.0	57710125.0	1743282.0	33104294.0	Asia
2022-04-14	Malaysia	4363024	10413.0	35381.0	18.0	4209858.0	13202.0	117785.0	154.0	131792.0	1069.0	57790499.0	1745650.0	33105427.0	Asia
2022-04-15	Malaysia	4372697	9673.0	35397.0	16.0	4224125.0	14267.0	113175.0	152.0	132084.0	1069.0	57867837.0	1747986.0	33105427.0	Asia
2022-04-16	Malaysia	4372697	0.0	35397.0	0.0	4224125.0	0.0	113175.0	152.0	132084.0	1069.0	57867837.0	1747986.0	33105427.0	Asia
