Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Mali	30489	5.0	728.0	1.0	29638.0	2.0	123.0	0	1433.0	34.0	650398.0	30577.0	21271006.0	Africa
2022-04-03	Mali	30493	4.0	728.0	0.0	29639.0	1.0	126.0	0	1433.0	34.0	651510.0	30627.0	21272606.0	Africa
2022-04-04	Mali	30495	2.0	728.0	0.0	29641.0	2.0	126.0	0	1433.0	34.0	652266.0	30660.0	21274206.0	Africa
2022-04-05	Mali	30506	11.0	728.0	0.0	29647.0	6.0	131.0	0	1434.0	34.0	652266.0	30658.0	21275806.0	Africa
2022-04-06	Mali	30512	6.0	728.0	0.0	29650.0	3.0	134.0	0	1434.0	34.0	652947.0	30687.0	21277407.0	Africa
2022-04-07	Mali	30519	7.0	728.0	0.0	29659.0	9.0	132.0	0	1434.0	34.0	653755.0	30723.0	21279007.0	Africa
2022-04-08	Mali	30526	7.0	729.0	1.0	29663.0	4.0	134.0	0	1434.0	34.0	654427.0	30752.0	21280607.0	Africa
2022-04-09	Mali	30535	9.0	729.0	0.0	29663.0	0.0	143.0	0	1435.0	34.0	654427.0	30750.0	21282207.0	Africa
2022-04-10	Mali	30546	11.0	729.0	0.0	29668.0	5.0	149.0	0	1435.0	34.0	655317.0	30789.0	21283807.0	Africa
2022-04-11	Mali	30566	20.0	729.0	0.0	29670.0	2.0	167.0	0	1436.0	34.0	655427.0	30792.0	21285407.0	Africa
2022-04-12	Mali	30589	11.0	729.0	0.0	29673.0	3.0	187.0	0	1437.0	34.0	656480.0	30839.0	21287008.0	Africa
2022-04-13	Mali	30602	13.0	729.0	0.0	29689.0	16.0	184.0	0	1437.0	34.0	657234.0	30873.0	21288608.0	Africa
2022-04-14	Mali	30617	15.0	729.0	0.0	29689.0	0.0	199.0	0	1438.0	34.0	657795.0	30897.0	21290208.0	Africa
2022-04-15	Mali	30633	16.0	729.0	0.0	29712.0	23.0	192.0	0	1439.0	34.0	658466.0	30928.0	21290208.0	Africa
2022-04-16	Mali	30633	0.0	729.0	0.0	29712.0	0.0	192.0	0	1439.0	34.0	658466.0	30928.0	21290208.0	Africa
