Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Mauritania	58670	1.0	982.0	0	57679.0	0.0	9.0	0	12063.0	202.0	782021.0	160796.0	4863443.0	Africa
2022-04-03	Mauritania	58670	0.0	982.0	0	57680.0	1.0	8.0	0	12063.0	202.0	783143.0	161015.0	4863778.0	Africa
2022-04-04	Mauritania	58670	0.0	982.0	0	57680.0	0.0	8.0	0	12062.0	202.0	783891.0	161158.0	4864113.0	Africa
2022-04-05	Mauritania	58671	1.0	982.0	0	57680.0	0.0	9.0	0	12061.0	202.0	784964.0	161368.0	4864448.0	Africa
2022-04-06	Mauritania	58675	4.0	982.0	0	57680.0	0.0	13.0	0	12061.0	202.0	785991.0	161568.0	4864783.0	Africa
2022-04-07	Mauritania	58675	0.0	982.0	0	57683.0	3.0	10.0	0	12060.0	202.0	787028.0	161770.0	4865118.0	Africa
2022-04-08	Mauritania	58675	0.0	982.0	0	57684.0	1.0	9.0	0	12060.0	202.0	787863.0	161930.0	4865453.0	Africa
2022-04-09	Mauritania	58676	1.0	982.0	0	57684.0	0.0	10.0	0	12059.0	202.0	788469.0	162043.0	4865788.0	Africa
2022-04-10	Mauritania	58676	0.0	982.0	0	57684.0	0.0	10.0	0	12058.0	202.0	789273.0	162198.0	4866123.0	Africa
2022-04-11	Mauritania	58677	1.0	982.0	0	57684.0	0.0	11.0	0	12057.0	202.0	789980.0	162332.0	4866458.0	Africa
2022-04-12	Mauritania	58679	0.0	982.0	0	57685.0	1.0	12.0	0	12057.0	202.0	791559.0	162645.0	4866793.0	Africa
2022-04-13	Mauritania	58680	1.0	982.0	0	57686.0	1.0	12.0	0	12056.0	202.0	791559.0	162634.0	4867129.0	Africa
2022-04-14	Mauritania	58681	1.0	982.0	0	57686.0	0.0	13.0	0	12056.0	202.0	792698.0	162856.0	4867464.0	Africa
2022-04-15	Mauritania	58681	0.0	982.0	0	57687.0	1.0	12.0	0	12056.0	202.0	793466.0	163014.0	4867464.0	Africa
2022-04-16	Mauritania	58681	0.0	982.0	0	57687.0	0.0	12.0	0	12056.0	202.0	793466.0	163014.0	4867464.0	Africa
