Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Mauritius	36481	70.0	968.0	0.0	33927.0	52.0	1586.0	0	28602.0	759.0	358675.0	281212.0	1275463.0	Africa
2022-04-03	Mauritius	36481	0.0	968.0	0.0	33927.0	0.0	1586.0	0	28602.0	759.0	358675.0	281211.0	1275468.0	Africa
2022-04-04	Mauritius	36628	147.0	968.0	0.0	33927.0	0.0	1733.0	0	28717.0	759.0	358675.0	281209.0	1275474.0	Africa
2022-04-05	Mauritius	36681	53.0	968.0	0.0	34295.0	368.0	1418.0	0	28759.0	759.0	358675.0	281208.0	1275480.0	Africa
2022-04-06	Mauritius	36758	77.0	968.0	0.0	34387.0	92.0	1403.0	0	28819.0	759.0	358675.0	281207.0	1275486.0	Africa
2022-04-07	Mauritius	36816	58.0	985.0	17.0	34514.0	127.0	1317.0	0	28864.0	772.0	358675.0	281205.0	1275491.0	Africa
2022-04-08	Mauritius	36904	88.0	985.0	0.0	34656.0	142.0	1263.0	0	28933.0	772.0	358675.0	281204.0	1275497.0	Africa
2022-04-09	Mauritius	36943	39.0	985.0	0.0	34747.0	91.0	1211.0	0	28963.0	772.0	358675.0	281203.0	1275503.0	Africa
2022-04-10	Mauritius	36943	0.0	985.0	0.0	34747.0	0.0	1211.0	0	28963.0	772.0	358675.0	281201.0	1275509.0	Africa
2022-04-11	Mauritius	37103	160.0	985.0	0.0	34747.0	0.0	1371.0	0	29089.0	772.0	358675.0	281200.0	1275514.0	Africa
2022-04-12	Mauritius	37176	27.0	985.0	0.0	35002.0	68.0	1189.0	0	29146.0	772.0	358675.0	281199.0	1275520.0	Africa
2022-04-13	Mauritius	37210	34.0	985.0	0.0	35090.0	88.0	1135.0	0	29172.0	772.0	358675.0	281198.0	1275526.0	Africa
2022-04-14	Mauritius	37234	24.0	985.0	0.0	35146.0	56.0	1103.0	0	29191.0	772.0	358675.0	281196.0	1275532.0	Africa
2022-04-15	Mauritius	37251	17.0	985.0	0.0	35198.0	52.0	1068.0	0	29204.0	772.0	358675.0	281196.0	1275532.0	Africa
2022-04-16	Mauritius	37251	0.0	985.0	0.0	35198.0	0.0	1068.0	0	29204.0	772.0	358675.0	281196.0	1275532.0	Africa
