Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117134.0	Australia/Oceania
2022-04-03	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117137.0	Australia/Oceania
2022-04-04	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117140.0	Australia/Oceania
2022-04-05	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117143.0	Australia/Oceania
2022-04-06	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117147.0	Australia/Oceania
2022-04-07	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117150.0	Australia/Oceania
2022-04-08	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117153.0	Australia/Oceania
2022-04-09	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117157.0	Australia/Oceania
2022-04-10	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117160.0	Australia/Oceania
2022-04-11	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117163.0	Australia/Oceania
2022-04-12	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117166.0	Australia/Oceania
2022-04-13	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117170.0	Australia/Oceania
2022-04-14	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117173.0	Australia/Oceania
2022-04-15	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117173.0	Australia/Oceania
2022-04-16	Micronesia	1	0	0	0	1.0	0	0.0	0	9.0	0	0	0	117173.0	Australia/Oceania
