Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Montenegro	233179	77.0	2704.0	2.0	229878.0	65.0	597.0	6.0	371183.0	4304.0	1211569.0	1928620.0	628205.0	Europe
2022-04-03	Montenegro	233265	86.0	2705.0	1.0	229980.0	102.0	580.0	6.0	371320.0	4306.0	1212743.0	1930489.0	628205.0	Europe
2022-04-04	Montenegro	233326	61.0	2705.0	0.0	230030.0	50.0	591.0	6.0	371416.0	4306.0	2425486.0	3860972.0	628206.0	Europe
2022-04-05	Montenegro	233365	39.0	2706.0	1.0	230086.0	56.0	573.0	6.0	371478.0	4308.0	2426096.0	3861943.0	628206.0	Europe
2022-04-06	Montenegro	233453	88.0	2706.0	0.0	230157.0	71.0	590.0	6.0	371619.0	4308.0	2427484.0	3864153.0	628206.0	Europe
2022-04-07	Montenegro	233523	70.0	2706.0	0.0	230242.0	85.0	575.0	6.0	371730.0	4308.0	2428522.0	3865805.0	628206.0	Europe
2022-04-08	Montenegro	233582	59.0	2706.0	0.0	230334.0	92.0	542.0	6.0	371824.0	4308.0	2429449.0	3867281.0	628206.0	Europe
2022-04-09	Montenegro	233640	58.0	2706.0	0.0	230406.0	72.0	528.0	6.0	371916.0	4307.0	2430353.0	3868714.0	628207.0	Europe
2022-04-10	Montenegro	233692	52.0	2706.0	0.0	230492.0	86.0	494.0	6.0	371998.0	4307.0	2431361.0	3870318.0	628207.0	Europe
2022-04-11	Montenegro	233721	29.0	2706.0	0.0	230555.0	63.0	460.0	6.0	372045.0	4307.0	2432283.0	3871786.0	628207.0	Europe
2022-04-12	Montenegro	233834	84.0	2708.0	2.0	230676.0	82.0	450.0	6.0	372224.0	4311.0	2434120.0	3874710.0	628207.0	Europe
2022-04-13	Montenegro	233908	74.0	2708.0	0.0	230749.0	73.0	451.0	6.0	372342.0	4311.0	2435107.0	3876275.0	628208.0	Europe
2022-04-14	Montenegro	233980	72.0	2709.0	1.0	230805.0	56.0	466.0	6.0	372456.0	4312.0	2436085.0	3877832.0	628208.0	Europe
2022-04-15	Montenegro	234051	71.0	2709.0	0.0	230805.0	0.0	537.0	6.0	372569.0	4312.0	2437003.0	3879293.0	628208.0	Europe
2022-04-16	Montenegro	234051	0.0	2709.0	0.0	230805.0	0.0	537.0	6.0	372569.0	4312.0	2437003.0	3879293.0	628208.0	Europe
