Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Montserrat	175	0.0	2.0	0	173.0	1.0	0.0	0	35021.0	400.0	8796.0	1760256.0	4997.0	North America
2022-04-03	Montserrat	175	0.0	2.0	0	173.0	0.0	0.0	0	35021.0	400.0	8796.0	1760256.0	4997.0	North America
2022-04-04	Montserrat	175	0.0	2.0	0	173.0	0.0	0.0	0	35021.0	400.0	8796.0	1760256.0	4997.0	North America
2022-04-05	Montserrat	175	0.0	2.0	0	173.0	0.0	0.0	0	35021.0	400.0	8796.0	1760256.0	4997.0	North America
2022-04-06	Montserrat	175	0.0	2.0	0	173.0	0.0	0.0	0	35021.0	400.0	8796.0	1760256.0	4997.0	North America
2022-04-07	Montserrat	175	0.0	2.0	0	173.0	0.0	0.0	0	35021.0	400.0	8796.0	1760256.0	4997.0	North America
2022-04-08	Montserrat	176	1.0	2.0	0	173.0	0.0	1.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-09	Montserrat	176	0.0	2.0	0	173.0	0.0	1.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-10	Montserrat	176	0.0	2.0	0	173.0	0.0	1.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-11	Montserrat	176	0.0	2.0	0	173.0	0.0	1.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-12	Montserrat	176	0.0	2.0	0	173.0	0.0	1.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-13	Montserrat	176	0.0	2.0	0	173.0	0.0	1.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-14	Montserrat	176	0.0	2.0	0	174.0	1.0	0.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-15	Montserrat	176	0.0	2.0	0	174.0	0.0	0.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
2022-04-16	Montserrat	176	0.0	2.0	0	174.0	0.0	0.0	0	35221.0	400.0	9403.0	1881729.0	4997.0	North America
