Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Myanmar	611674	87.0	19431.0	1.0	589312.0	0.0	2931.0	0	11112.0	353.0	7669100.0	139316.0	55048340.0	Asia
2022-04-03	Myanmar	611809	135.0	19432.0	1.0	589842.0	530.0	2535.0	0	11114.0	353.0	7682117.0	139550.0	55049335.0	Asia
2022-04-04	Myanmar	611875	66.0	19433.0	1.0	589991.0	149.0	2451.0	0	11115.0	353.0	7693629.0	139756.0	55050330.0	Asia
2022-04-05	Myanmar	611926	51.0	19433.0	0.0	590192.0	201.0	2301.0	0	11116.0	353.0	7704974.0	139960.0	55051325.0	Asia
2022-04-06	Myanmar	611984	58.0	19433.0	0.0	590358.0	166.0	2193.0	0	11116.0	353.0	7718788.0	140208.0	55052320.0	Asia
2022-04-07	Myanmar	612079	95.0	19434.0	1.0	590464.0	106.0	2181.0	0	11118.0	353.0	7732206.0	140449.0	55053315.0	Asia
2022-04-08	Myanmar	612132	53.0	19434.0	0.0	590554.0	90.0	2144.0	0	11119.0	353.0	7746452.0	140706.0	55054310.0	Asia
2022-04-09	Myanmar	612224	92.0	19434.0	0.0	590666.0	112.0	2124.0	0	11120.0	353.0	7761400.0	140975.0	55055305.0	Asia
2022-04-10	Myanmar	612278	54.0	19434.0	0.0	590809.0	143.0	2035.0	0	11121.0	353.0	7774213.0	141205.0	55056300.0	Asia
2022-04-11	Myanmar	612341	63.0	19434.0	0.0	590889.0	80.0	2018.0	0	11122.0	353.0	7782033.0	141344.0	55057295.0	Asia
2022-04-12	Myanmar	612406	23.0	19434.0	0.0	591029.0	56.0	1943.0	0	11123.0	353.0	7798434.0	141640.0	55058290.0	Asia
2022-04-13	Myanmar	612460	54.0	19434.0	0.0	591139.0	110.0	1887.0	0	11124.0	353.0	7805688.0	141769.0	55059284.0	Asia
2022-04-14	Myanmar	612480	20.0	19434.0	0.0	591192.0	53.0	1854.0	0	11124.0	353.0	7811554.0	141873.0	55060279.0	Asia
2022-04-15	Myanmar	612527	47.0	19434.0	0.0	591264.0	72.0	1829.0	0	11125.0	353.0	7816330.0	141960.0	55060279.0	Asia
2022-04-16	Myanmar	612527	0.0	19434.0	0.0	591264.0	0.0	1829.0	0	11125.0	353.0	7816330.0	141960.0	55060279.0	Asia
