Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Nepal	978442	16.0	11951.0	0	965469.0	75.0	1022.0	100.0	32556.0	398.0	5548906.0	184632.0	30053867.0	Asia
2022-04-03	Nepal	978452	10.0	11951.0	0	965559.0	90.0	942.0	100.0	32555.0	398.0	5550989.0	184693.0	30055301.0	Asia
2022-04-04	Nepal	978475	23.0	11951.0	0	965625.0	66.0	899.0	100.0	32554.0	398.0	5556836.0	184878.0	30056735.0	Asia
2022-04-05	Nepal	978507	32.0	11951.0	0	965714.0	89.0	842.0	100.0	32554.0	398.0	5559778.0	184967.0	30058169.0	Asia
2022-04-06	Nepal	978528	21.0	11951.0	0	965765.0	51.0	812.0	100.0	32553.0	398.0	5563056.0	185068.0	30059602.0	Asia
2022-04-07	Nepal	978538	10.0	11951.0	0	965822.0	57.0	765.0	100.0	32552.0	398.0	5566414.0	185170.0	30061036.0	Asia
2022-04-08	Nepal	978545	7.0	11951.0	0	965847.0	25.0	747.0	0.0	32550.0	398.0	5569233.0	185255.0	30062470.0	Asia
2022-04-09	Nepal	978556	11.0	11951.0	0	965936.0	89.0	669.0	0.0	32549.0	398.0	5571961.0	185337.0	30063903.0	Asia
2022-04-10	Nepal	978568	12.0	11951.0	0	965980.0	44.0	637.0	0.0	32548.0	398.0	5574500.0	185413.0	30065337.0	Asia
2022-04-11	Nepal	978571	3.0	11951.0	0	966028.0	48.0	592.0	0.0	32547.0	397.0	5576300.0	185464.0	30066771.0	Asia
2022-04-12	Nepal	978616	23.0	11951.0	0	966111.0	37.0	554.0	0.0	32547.0	397.0	5583138.0	185682.0	30068204.0	Asia
2022-04-13	Nepal	978631	15.0	11951.0	0	966160.0	49.0	520.0	0.0	32545.0	397.0	5586487.0	185785.0	30069638.0	Asia
2022-04-14	Nepal	978634	3.0	11951.0	0	966204.0	44.0	479.0	0.0	32544.0	397.0	5588749.0	185851.0	30071072.0	Asia
2022-04-15	Nepal	978648	14.0	11951.0	0	966259.0	55.0	438.0	0.0	32544.0	397.0	5591779.0	185952.0	30071072.0	Asia
2022-04-16	Nepal	978648	0.0	11951.0	0	966259.0	0.0	438.0	0.0	32544.0	397.0	5591779.0	185952.0	30071072.0	Asia
