Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Oman	388408	65.0	4250.0	0.0	382939.0	0.0	1219.0	17.0	72820.0	797.0	25000000.0	4687077.0	5333815.0	Asia
2022-04-03	Oman	388432	24.0	4250.0	0.0	382939.0	0.0	1243.0	17.0	72820.0	797.0	25000000.0	4686764.0	5334171.0	Asia
2022-04-04	Oman	388468	36.0	4251.0	1.0	383246.0	307.0	971.0	14.0	72821.0	797.0	25000000.0	4686451.0	5334527.0	Asia
2022-04-05	Oman	388500	32.0	4252.0	1.0	383327.0	81.0	921.0	14.0	72823.0	797.0	25000000.0	4686138.0	5334883.0	Asia
2022-04-06	Oman	388536	36.0	4252.0	0.0	383364.0	37.0	920.0	12.0	72824.0	797.0	25000000.0	4685826.0	5335239.0	Asia
2022-04-07	Oman	388571	35.0	4253.0	1.0	383416.0	52.0	902.0	10.0	72826.0	797.0	25000000.0	4685513.0	5335595.0	Asia
2022-04-08	Oman	388603	32.0	4253.0	0.0	383492.0	76.0	858.0	6.0	72827.0	797.0	25000000.0	4685200.0	5335951.0	Asia
2022-04-09	Oman	388640	37.0	4253.0	0.0	383492.0	0.0	895.0	6.0	72829.0	797.0	25000000.0	4684888.0	5336307.0	Asia
2022-04-10	Oman	388662	22.0	4253.0	0.0	383492.0	0.0	917.0	6.0	72829.0	797.0	25000000.0	4684575.0	5336663.0	Asia
2022-04-11	Oman	388686	24.0	4254.0	1.0	383681.0	189.0	751.0	3.0	72828.0	797.0	25000000.0	4684263.0	5337019.0	Asia
2022-04-12	Oman	388741	32.0	4256.0	2.0	383776.0	27.0	709.0	5.0	72834.0	797.0	25000000.0	4683950.0	5337375.0	Asia
2022-04-13	Oman	388763	22.0	4257.0	1.0	383809.0	33.0	697.0	5.0	72833.0	798.0	25000000.0	4683638.0	5337731.0	Asia
2022-04-14	Oman	388795	32.0	4257.0	0.0	383851.0	42.0	687.0	6.0	72834.0	797.0	25000000.0	4683326.0	5338087.0	Asia
2022-04-15	Oman	388795	0.0	4257.0	0.0	383851.0	0.0	687.0	6.0	72834.0	797.0	25000000.0	4683326.0	5338087.0	Asia
2022-04-16	Oman	388795	0.0	4257.0	0.0	383851.0	0.0	687.0	6.0	72834.0	797.0	25000000.0	4683326.0	5338087.0	Asia
