Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Panama	764831	295.0	8170.0	0.0	754138.0	379.0	2523.0	10.0	172506.0	1843.0	5709073.0	1287672.0	4433639.0	North America
2022-04-03	Panama	765054	223.0	8170.0	0.0	754470.0	332.0	2414.0	10.0	172549.0	1843.0	5714675.0	1288882.0	4433824.0	North America
2022-04-04	Panama	765213	159.0	8170.0	0.0	754803.0	333.0	2240.0	10.0	172578.0	1843.0	5719316.0	1289874.0	4434010.0	North America
2022-04-05	Panama	765337	124.0	8172.0	2.0	755057.0	254.0	2108.0	10.0	172599.0	1843.0	5722835.0	1290614.0	4434196.0	North America
2022-04-06	Panama	765677	340.0	8172.0	0.0	755296.0	239.0	2209.0	10.0	172668.0	1843.0	5729565.0	1292077.0	4434382.0	North America
2022-04-07	Panama	765930	253.0	8172.0	0.0	755758.0	462.0	2000.0	10.0	172718.0	1843.0	5735815.0	1293433.0	4434567.0	North America
2022-04-08	Panama	766177	247.0	8174.0	2.0	755893.0	135.0	2110.0	10.0	172767.0	1843.0	5741600.0	1294683.0	4434753.0	North America
2022-04-09	Panama	766504	327.0	8174.0	0.0	756002.0	109.0	2328.0	10.0	172833.0	1843.0	5747623.0	1295987.0	4434939.0	North America
2022-04-10	Panama	766758	254.0	8176.0	2.0	756295.0	293.0	2287.0	10.0	172883.0	1843.0	5752906.0	1297124.0	4435124.0	North America
2022-04-11	Panama	766931	173.0	8176.0	0.0	756736.0	441.0	2019.0	9.0	172915.0	1843.0	5757004.0	1297994.0	4435310.0	North America
2022-04-12	Panama	767438	371.0	8178.0	1.0	757024.0	220.0	2236.0	9.0	173022.0	1844.0	5767195.0	1300237.0	4435496.0	North America
2022-04-13	Panama	767835	397.0	8178.0	0.0	757190.0	166.0	2467.0	9.0	173104.0	1844.0	5773749.0	1301660.0	4435682.0	North America
2022-04-14	Panama	768199	364.0	8178.0	0.0	757373.0	183.0	2648.0	9.0	173179.0	1844.0	5779516.0	1302906.0	4435867.0	North America
2022-04-15	Panama	768470	271.0	8178.0	0.0	757723.0	350.0	2569.0	9.0	173240.0	1844.0	5783875.0	1303888.0	4435867.0	North America
2022-04-16	Panama	768470	0.0	8178.0	0.0	757723.0	0.0	2569.0	9.0	173240.0	1844.0	5783875.0	1303888.0	4435867.0	North America
