Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Peru	3547606	481.0	212256.0	34.0	0	0	0	428.0	105034.0	6284.0	28804457.0	852815.0	33775745.0	South America
2022-04-03	Peru	3548088	482.0	212299.0	43.0	0	0	0	421.0	105044.0	6285.0	28860933.0	854455.0	33777000.0	South America
2022-04-04	Peru	3548559	471.0	212328.0	29.0	0	0	0	438.0	105055.0	6286.0	28904299.0	855707.0	33778256.0	South America
2022-04-05	Peru	3548717	158.0	212354.0	26.0	0	0	0	423.0	105055.0	6286.0	28937071.0	856646.0	33779511.0	South America
2022-04-06	Peru	3549028	311.0	212372.0	18.0	0	0	0	421.0	105061.0	6287.0	28971116.0	857622.0	33780766.0	South America
2022-04-07	Peru	3549511	483.0	212396.0	24.0	0	0	0	417.0	105071.0	6287.0	29002138.0	858508.0	33782021.0	South America
2022-04-08	Peru	3550240	729.0	212420.0	24.0	0	0	0	408.0	105089.0	6288.0	29043592.0	859703.0	33783277.0	South America
2022-04-09	Peru	3550791	551.0	212438.0	18.0	0	0	0	400.0	105101.0	6288.0	29106235.0	861525.0	33784532.0	South America
2022-04-10	Peru	3551245	454.0	212471.0	33.0	0	0	0	401.0	105111.0	6289.0	29171760.0	863433.0	33785787.0	South America
2022-04-11	Peru	3551540	295.0	212486.0	15.0	0	0	0	395.0	105115.0	6289.0	29204946.0	864383.0	33787042.0	South America
2022-04-12	Peru	3552467	667.0	212528.0	21.0	0	0	0	378.0	105139.0	6290.0	29255017.0	865833.0	33788298.0	South America
2022-04-13	Peru	3553210	743.0	212547.0	19.0	0	0	0	382.0	105157.0	6290.0	29296629.0	867032.0	33789553.0	South America
2022-04-14	Peru	3554006	796.0	212565.0	18.0	0	0	0	381.0	105177.0	6291.0	29338086.0	868227.0	33790808.0	South America
2022-04-15	Peru	3554669	663.0	212596.0	31.0	0	0	0	379.0	105196.0	6292.0	29371506.0	869216.0	33790808.0	South America
2022-04-16	Peru	3554669	0.0	212596.0	0.0	0	0	0	379.0	105196.0	6292.0	29371506.0	869216.0	33790808.0	South America
