Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Philippines	3678595	353.0	59298.0	49.0	3580980.0	1299.0	38317.0	289.0	32805.0	529.0	28963124.0	258291.0	112133868.0	Asia
2022-04-03	Philippines	3678939	344.0	59324.0	26.0	3582529.0	1549.0	37086.0	289.0	32807.0	529.0	28986738.0	258492.0	112137854.0	Asia
2022-04-04	Philippines	3679485	546.0	59343.0	19.0	3584319.0	1790.0	35823.0	289.0	32811.0	529.0	29006676.0	258661.0	112141839.0	Asia
2022-04-05	Philippines	3679758	273.0	59365.0	22.0	3585597.0	1278.0	34796.0	289.0	32812.0	529.0	29022359.0	258791.0	112145825.0	Asia
2022-04-06	Philippines	3679979	221.0	59370.0	5.0	3586984.0	1387.0	33625.0	289.0	32813.0	529.0	29022359.0	258782.0	112149810.0	Asia
2022-04-07	Philippines	3680236	257.0	59422.0	52.0	3588359.0	1375.0	32455.0	289.0	32814.0	530.0	29066768.0	259169.0	112153795.0	Asia
2022-04-08	Philippines	3680512	276.0	59591.0	169.0	3589451.0	1092.0	31470.0	289.0	32815.0	531.0	29066768.0	259160.0	112157781.0	Asia
2022-04-09	Philippines	3680799	287.0	59660.0	69.0	3590615.0	1164.0	30524.0	289.0	32817.0	532.0	29110370.0	259539.0	112161766.0	Asia
2022-04-10	Philippines	3681097	298.0	59730.0	70.0	3591931.0	1316.0	29436.0	289.0	32818.0	533.0	29132342.0	259726.0	112165751.0	Asia
2022-04-11	Philippines	3681373	276.0	59769.0	39.0	3593225.0	1294.0	28379.0	289.0	32820.0	533.0	29151556.0	259888.0	112169737.0	Asia
2022-04-12	Philippines	3681850	204.0	59778.0	1.0	3595817.0	1301.0	26255.0	289.0	32823.0	533.0	29202370.0	260332.0	112173722.0	Asia
2022-04-13	Philippines	3682080	230.0	59891.0	113.0	3597058.0	1241.0	25131.0	289.0	32824.0	534.0	29224500.0	260520.0	112177708.0	Asia
2022-04-14	Philippines	3682351	271.0	59932.0	41.0	3598245.0	1187.0	24174.0	289.0	32825.0	534.0	29242796.0	260674.0	112181693.0	Asia
2022-04-15	Philippines	3682623	272.0	59956.0	24.0	3599468.0	1223.0	23199.0	289.0	32827.0	534.0	29242796.0	260674.0	112181693.0	Asia
2022-04-16	Philippines	3682623	0.0	59956.0	0.0	3599468.0	0.0	23199.0	289.0	32827.0	534.0	29242796.0	260674.0	112181693.0	Asia
