Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Portugal	3604114	10016.0	21693.0	22.0	0	0	0	61.0	355272.0	2138.0	40088192.0	3951654.0	10144662.0	Europe
2022-04-03	Portugal	3604114	0.0	21693.0	0.0	0	0	0	61.0	355275.0	2138.0	40088192.0	3951685.0	10144581.0	Europe
2022-04-04	Portugal	3604114	0.0	21693.0	0.0	0	0	0	61.0	355278.0	2138.0	40088192.0	3951717.0	10144500.0	Europe
2022-04-05	Portugal	3604114	0.0	21693.0	0.0	0	0	0	61.0	355280.0	2138.0	40188779.0	3961664.0	10144419.0	Europe
2022-04-06	Portugal	3604114	0.0	21693.0	0.0	0	0	0	61.0	355283.0	2138.0	40239817.0	3966726.0	10144339.0	Europe
2022-04-07	Portugal	3604114	0.0	21693.0	0.0	0	0	0	61.0	355286.0	2138.0	40239817.0	3966758.0	10144258.0	Europe
2022-04-08	Portugal	3657771	9192.0	21852.0	21.0	0	0	0	61.0	360578.0	2154.0	40239817.0	3966790.0	10144177.0	Europe
2022-04-09	Portugal	3667184	9413.0	21874.0	22.0	0	0	0	61.0	361509.0	2156.0	40384633.0	3981097.0	10144096.0	Europe
2022-04-10	Portugal	3676145	8961.0	21890.0	16.0	0	0	0	61.0	362395.0	2158.0	40433267.0	3985923.0	10144015.0	Europe
2022-04-11	Portugal	3682996	6851.0	21915.0	25.0	0	0	0	61.0	363074.0	2160.0	40464651.0	3989049.0	10143934.0	Europe
2022-04-12	Portugal	3697653	11162.0	21958.0	23.0	0	0	0	61.0	364522.0	2165.0	40534335.0	3995951.0	10143853.0	Europe
2022-04-13	Portugal	3709026	11373.0	21970.0	12.0	0	0	0	61.0	365646.0	2166.0	40534335.0	3995982.0	10143772.0	Europe
2022-04-14	Portugal	3719485	10459.0	21993.0	23.0	0	0	0	61.0	366680.0	2168.0	40534335.0	3996014.0	10143691.0	Europe
2022-04-15	Portugal	3719485	0.0	21993.0	0.0	0	0	0	61.0	366680.0	2168.0	40678788.0	4010255.0	10143691.0	Europe
2022-04-16	Portugal	3719485	0.0	21993.0	0.0	0	0	0	61.0	366680.0	2168.0	40678788.0	4010255.0	10143691.0	Europe
