Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Rwanda	129726	4.0	1458.0	0	45522.0	0	82746.0	1.0	9599.0	108.0	5119875.0	378860.0	13513881.0	Africa
2022-04-03	Rwanda	129726	0.0	1458.0	0	45522.0	0	82746.0	1.0	9599.0	108.0	5119875.0	378836.0	13514760.0	Africa
2022-04-04	Rwanda	129728	2.0	1458.0	0	45522.0	0	82748.0	1.0	9598.0	108.0	5133903.0	379849.0	13515640.0	Africa
2022-04-05	Rwanda	129733	5.0	1458.0	0	45522.0	0	82753.0	1.0	9598.0	108.0	5138592.0	380171.0	13516520.0	Africa
2022-04-06	Rwanda	129735	2.0	1458.0	0	45522.0	0	82755.0	1.0	9598.0	108.0	5145742.0	380675.0	13517400.0	Africa
2022-04-07	Rwanda	129739	4.0	1458.0	0	45522.0	0	82759.0	1.0	9597.0	108.0	5151824.0	381101.0	13518280.0	Africa
2022-04-08	Rwanda	129740	1.0	1458.0	0	45522.0	0	82760.0	2.0	9597.0	108.0	5156746.0	381440.0	13519160.0	Africa
2022-04-09	Rwanda	129740	0.0	1458.0	0	45522.0	0	82760.0	2.0	9596.0	108.0	5156746.0	381415.0	13520040.0	Africa
2022-04-10	Rwanda	129748	8.0	1458.0	0	45522.0	0	82768.0	1.0	9596.0	108.0	5163013.0	381854.0	13520920.0	Africa
2022-04-11	Rwanda	129750	2.0	1458.0	0	45522.0	0	82770.0	1.0	9596.0	108.0	5166836.0	382112.0	13521800.0	Africa
2022-04-12	Rwanda	129751	1.0	1458.0	0	45522.0	0	82771.0	1.0	9595.0	108.0	5173899.0	382609.0	13522679.0	Africa
2022-04-13	Rwanda	129755	4.0	1458.0	0	45522.0	0	82775.0	1.0	9595.0	108.0	5178134.0	382897.0	13523559.0	Africa
2022-04-14	Rwanda	129755	0.0	1458.0	0	45522.0	0	82775.0	1.0	9594.0	108.0	5178134.0	382872.0	13524439.0	Africa
2022-04-15	Rwanda	129756	1.0	1458.0	0	45522.0	0	82776.0	1.0	9594.0	108.0	5188208.0	383617.0	13524439.0	Africa
2022-04-16	Rwanda	129756	0.0	1458.0	0	45522.0	0	82776.0	1.0	9594.0	108.0	5188208.0	383617.0	13524439.0	Africa
