Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-03	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-04	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-05	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-06	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-07	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-08	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-09	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-10	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-11	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-12	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-13	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-14	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-15	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
2022-04-16	Saint Helena	2	0	0	0	2.0	0	0.0	0	327.0	0	0	0	6109.0	Africa
