Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Senegal	85901	6.0	1964.0	0.0	83903.0	6.0	34.0	0.0	4904.0	112.0	1045709.0	59701.0	17515750.0	Africa
2022-04-03	Senegal	85911	10.0	1965.0	1.0	83910.0	7.0	36.0	0.0	4904.0	112.0	1046905.0	59765.0	17516960.0	Africa
2022-04-04	Senegal	85919	8.0	1965.0	0.0	83914.0	4.0	40.0	0.0	4905.0	112.0	1048212.0	59836.0	17518170.0	Africa
2022-04-05	Senegal	85920	1.0	1965.0	0.0	83922.0	8.0	33.0	0.0	4904.0	112.0	1049284.0	59893.0	17519380.0	Africa
2022-04-06	Senegal	85924	4.0	1965.0	0.0	83925.0	3.0	34.0	0.0	4904.0	112.0	1050047.0	59932.0	17520589.0	Africa
2022-04-07	Senegal	85931	7.0	1965.0	0.0	83934.0	9.0	32.0	0.0	4904.0	112.0	1051050.0	59985.0	17521799.0	Africa
2022-04-08	Senegal	85940	9.0	1965.0	0.0	83941.0	7.0	34.0	0.0	4904.0	112.0	1052010.0	60036.0	17523009.0	Africa
2022-04-09	Senegal	85947	7.0	1965.0	0.0	83947.0	6.0	35.0	0.0	4904.0	112.0	1052864.0	60081.0	17524218.0	Africa
2022-04-10	Senegal	85949	2.0	1965.0	0.0	83951.0	4.0	33.0	0.0	4904.0	112.0	1053830.0	60131.0	17525428.0	Africa
2022-04-11	Senegal	85950	1.0	1965.0	0.0	83959.0	8.0	26.0	0.0	4904.0	112.0	1054841.0	60185.0	17526638.0	Africa
2022-04-12	Senegal	85952	0.0	1965.0	0.0	83967.0	5.0	20.0	0.0	4904.0	112.0	1056316.0	60265.0	17527848.0	Africa
2022-04-13	Senegal	85954	2.0	1965.0	0.0	83970.0	3.0	19.0	0.0	4904.0	112.0	1057173.0	60310.0	17529057.0	Africa
2022-04-14	Senegal	85961	7.0	1965.0	0.0	83974.0	4.0	22.0	0.0	4904.0	112.0	1057902.0	60347.0	17530267.0	Africa
2022-04-15	Senegal	85965	4.0	1965.0	0.0	83976.0	2.0	24.0	1.0	4904.0	112.0	1058790.0	60398.0	17530267.0	Africa
2022-04-16	Senegal	85965	0.0	1965.0	0.0	83976.0	0.0	24.0	1.0	4904.0	112.0	1058790.0	60398.0	17530267.0	Africa
