Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Serbia	1978228	1661.0	15809.0	10.0	1926928.0	3557.0	35491.0	40.0	228018.0	1822.0	9203251.0	1060800.0	8675762.0	Europe
2022-04-03	Serbia	1979729	1501.0	15818.0	9.0	1929333.0	2405.0	34578.0	32.0	228193.0	1823.0	9214166.0	1062070.0	8675666.0	Europe
2022-04-04	Serbia	1980722	993.0	15825.0	7.0	1931773.0	2440.0	33124.0	30.0	228310.0	1824.0	9221892.0	1062972.0	8675570.0	Europe
2022-04-05	Serbia	1982193	1471.0	15834.0	9.0	1934128.0	2355.0	32231.0	33.0	228482.0	1825.0	9235046.0	1064500.0	8675475.0	Europe
2022-04-06	Serbia	1983734	1541.0	15842.0	8.0	1936195.0	2067.0	31697.0	28.0	228663.0	1826.0	9249135.0	1066136.0	8675379.0	Europe
2022-04-07	Serbia	1985085	1351.0	15850.0	8.0	1936195.0	0.0	33040.0	27.0	228821.0	1827.0	9262624.0	1067703.0	8675283.0	Europe
2022-04-08	Serbia	1986439	1354.0	15862.0	12.0	1939430.0	3235.0	31147.0	25.0	228979.0	1828.0	9275301.0	1069176.0	8675187.0	Europe
2022-04-09	Serbia	1987756	1317.0	15869.0	7.0	1941588.0	2158.0	30299.0	26.0	229134.0	1829.0	9286856.0	1070520.0	8675092.0	Europe
2022-04-10	Serbia	1988716	960.0	15877.0	8.0	1943830.0	2242.0	29009.0	28.0	229247.0	1830.0	9295508.0	1071529.0	8674996.0	Europe
2022-04-11	Serbia	1989415	699.0	15884.0	7.0	1946136.0	2306.0	27395.0	28.0	229330.0	1831.0	9302535.0	1072351.0	8674900.0	Europe
2022-04-12	Serbia	1991620	1109.0	15899.0	9.0	1948245.0	0.0	27476.0	23.0	229587.0	1833.0	9326796.0	1075159.0	8674805.0	Europe
2022-04-13	Serbia	1992677	1057.0	15906.0	7.0	1951872.0	3627.0	24899.0	26.0	229711.0	1834.0	9338695.0	1076543.0	8674709.0	Europe
2022-04-14	Serbia	1993661	984.0	15913.0	7.0	1953138.0	1266.0	24610.0	24.0	229827.0	1834.0	9350216.0	1077883.0	8674613.0	Europe
2022-04-15	Serbia	1994623	962.0	15916.0	3.0	1954914.0	1776.0	23793.0	24.0	229938.0	1835.0	9359560.0	1078960.0	8674613.0	Europe
2022-04-16	Serbia	1994623	0.0	15916.0	0.0	1954914.0	0.0	23793.0	24.0	229938.0	1835.0	9359560.0	1078960.0	8674613.0	Europe
