Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Seychelles	40421	0.0	164.0	0	39790.0	0.0	467.0	0	406597.0	1650.0	0	0	99413.0	Africa
2022-04-03	Seychelles	40421	0.0	164.0	0	39790.0	0.0	467.0	0	406589.0	1650.0	0	0	99415.0	Africa
2022-04-04	Seychelles	40421	0.0	164.0	0	39790.0	0.0	467.0	0	406584.0	1650.0	0	0	99416.0	Africa
2022-04-05	Seychelles	40866	445.0	164.0	0	39963.0	173.0	739.0	0	411052.0	1650.0	0	0	99418.0	Africa
2022-04-06	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	411044.0	1650.0	0	0	99420.0	Africa
2022-04-07	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	411040.0	1650.0	0	0	99421.0	Africa
2022-04-08	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	411032.0	1650.0	0	0	99423.0	Africa
2022-04-09	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	411023.0	1649.0	0	0	99425.0	Africa
2022-04-10	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	411019.0	1649.0	0	0	99426.0	Africa
2022-04-11	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	411011.0	1649.0	0	0	99428.0	Africa
2022-04-12	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	411007.0	1649.0	0	0	99429.0	Africa
2022-04-13	Seychelles	40866	0.0	164.0	0	39963.0	0.0	739.0	0	410999.0	1649.0	0	0	99431.0	Africa
2022-04-14	Seychelles	41660	794.0	164.0	0	40675.0	712.0	821.0	0	418976.0	1649.0	0	0	99433.0	Africa
2022-04-15	Seychelles	41660	0.0	164.0	0	40675.0	0.0	821.0	0	418976.0	1649.0	0	0	99433.0	Africa
2022-04-16	Seychelles	41660	0.0	164.0	0	40675.0	0.0	821.0	0	418976.0	1649.0	0	0	99433.0	Africa
