Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Slovakia	1716638	5754.0	19368.0	16.0	1599098.0	9764.0	98172.0	181.0	314157.0	3544.0	6887739.0	1260504.0	5464272.0	Europe
2022-04-03	Slovakia	1722229	5591.0	19392.0	24.0	1608468.0	9370.0	94369.0	179.0	315180.0	3549.0	6900741.0	1262882.0	5464279.0	Europe
2022-04-04	Slovakia	1725487	3258.0	19417.0	25.0	1615277.0	6809.0	90793.0	179.0	315775.0	3553.0	6908765.0	1264349.0	5464286.0	Europe
2022-04-05	Slovakia	1726952	1465.0	19440.0	23.0	1618092.0	2815.0	89420.0	179.0	316043.0	3558.0	6912806.0	1265087.0	5464293.0	Europe
2022-04-06	Slovakia	1732096	5144.0	19462.0	22.0	1627006.0	8914.0	85628.0	179.0	316984.0	3562.0	6926378.0	1267569.0	5464300.0	Europe
2022-04-07	Slovakia	1737315	5219.0	19482.0	20.0	1637371.0	10365.0	80462.0	170.0	317939.0	3565.0	6939102.0	1269896.0	5464308.0	Europe
2022-04-08	Slovakia	1741695	4380.0	19500.0	18.0	1647000.0	9629.0	75195.0	170.0	318740.0	3569.0	6950054.0	1271898.0	5464315.0	Europe
2022-04-09	Slovakia	1745268	3573.0	19523.0	23.0	1655086.0	8086.0	70659.0	149.0	319393.0	3573.0	6958964.0	1273527.0	5464322.0	Europe
2022-04-10	Slovakia	1748373	3105.0	19549.0	26.0	1662342.0	7256.0	66482.0	136.0	319961.0	3578.0	6967893.0	1275160.0	5464329.0	Europe
2022-04-11	Slovakia	1750541	2168.0	19573.0	24.0	1667876.0	5534.0	63092.0	136.0	320357.0	3582.0	6974263.0	1276324.0	5464336.0	Europe
2022-04-12	Slovakia	1754579	3014.0	19618.0	23.0	1677165.0	6535.0	57796.0	130.0	321096.0	3590.0	6987643.0	1278771.0	5464344.0	Europe
2022-04-13	Slovakia	1757117	2538.0	19643.0	25.0	1683932.0	6767.0	53542.0	130.0	321560.0	3595.0	6995626.0	1280230.0	5464351.0	Europe
2022-04-14	Slovakia	1759793	2676.0	19670.0	27.0	1691241.0	7309.0	48882.0	130.0	322049.0	3600.0	7003742.0	1281714.0	5464358.0	Europe
2022-04-15	Slovakia	1762270	2477.0	19697.0	27.0	1696968.0	5727.0	45605.0	111.0	322503.0	3605.0	7010890.0	1283022.0	5464358.0	Europe
2022-04-16	Slovakia	1762270	0.0	19697.0	0.0	1696941.0	0.0	45632.0	111.0	322503.0	3605.0	7010890.0	1283022.0	5464358.0	Europe
