Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Somalia	26400	0.0	1348.0	0.0	13182.0	0	11870.0	0	1584.0	81.0	400466.0	24025.0	16668781.0	Africa
2022-04-03	Somalia	26400	0.0	1348.0	0.0	13182.0	0	11870.0	0	1584.0	81.0	400466.0	24023.0	16669998.0	Africa
2022-04-04	Somalia	26400	0.0	1348.0	0.0	13182.0	0	11870.0	0	1584.0	81.0	400466.0	24021.0	16671214.0	Africa
2022-04-05	Somalia	26400	0.0	1348.0	0.0	13182.0	0	11870.0	0	1583.0	81.0	400466.0	24020.0	16672430.0	Africa
2022-04-06	Somalia	26471	71.0	1350.0	2.0	13182.0	0	11939.0	0	1588.0	81.0	400466.0	24018.0	16673646.0	Africa
2022-04-07	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24016.0	16674862.0	Africa
2022-04-08	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24014.0	16676078.0	Africa
2022-04-09	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24013.0	16677294.0	Africa
2022-04-10	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24011.0	16678511.0	Africa
2022-04-11	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24009.0	16679727.0	Africa
2022-04-12	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24007.0	16680943.0	Africa
2022-04-13	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24006.0	16682159.0	Africa
2022-04-14	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24004.0	16683375.0	Africa
2022-04-15	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24004.0	16683375.0	Africa
2022-04-16	Somalia	26471	0.0	1350.0	0.0	13182.0	0	11939.0	0	1587.0	81.0	400466.0	24004.0	16683375.0	Africa
