Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	South Africa	3720645	1692.0	100042.0	10.0	3608072.0	4251.0	12531.0	546.0	61379.0	1650.0	23866743.0	393727.0	60617532.0	Africa
2022-04-03	South Africa	3722065	1420.0	100046.0	4.0	3609277.0	1205.0	12742.0	546.0	61400.0	1650.0	23893013.0	394147.0	60619575.0	Africa
2022-04-04	South Africa	3722954	889.0	100050.0	4.0	3611123.0	1846.0	11781.0	546.0	61413.0	1650.0	23909698.0	394409.0	60621618.0	Africa
2022-04-05	South Africa	3723639	685.0	100052.0	2.0	3612081.0	958.0	11506.0	546.0	61422.0	1650.0	23922395.0	394605.0	60623661.0	Africa
2022-04-06	South Africa	3725177	1538.0	100067.0	15.0	3613688.0	1607.0	11422.0	546.0	61446.0	1651.0	23947309.0	395003.0	60625704.0	Africa
2022-04-07	South Africa	3727208	2031.0	100070.0	3.0	3614509.0	821.0	12629.0	546.0	61477.0	1651.0	23971040.0	395381.0	60627747.0	Africa
2022-04-08	South Africa	3728689	1481.0	100075.0	5.0	3615531.0	1022.0	13083.0	546.0	61499.0	1651.0	23996380.0	395785.0	60629790.0	Africa
2022-04-09	South Africa	3730066	1377.0	100084.0	9.0	3617624.0	2093.0	12358.0	546.0	61520.0	1651.0	24019672.0	396156.0	60631833.0	Africa
2022-04-10	South Africa	3731247	1181.0	100096.0	12.0	3617708.0	84.0	13443.0	546.0	61537.0	1651.0	24044412.0	396551.0	60633876.0	Africa
2022-04-11	South Africa	3732075	828.0	100096.0	0.0	3619311.0	1603.0	12668.0	546.0	61549.0	1651.0	24060151.0	396797.0	60635919.0	Africa
2022-04-12	South Africa	3733919	1291.0	100116.0	18.0	3622097.0	1014.0	11706.0	175.0	61577.0	1651.0	24094335.0	397347.0	60637961.0	Africa
2022-04-13	South Africa	3735578	1659.0	100132.0	16.0	3624451.0	2354.0	10995.0	175.0	61603.0	1651.0	24116414.0	397698.0	60640004.0	Africa
2022-04-14	South Africa	3737346	1768.0	100138.0	6.0	3625407.0	956.0	11801.0	175.0	61630.0	1651.0	24116414.0	397685.0	60642047.0	Africa
2022-04-15	South Africa	3739192	1846.0	100142.0	4.0	3626109.0	702.0	12941.0	175.0	61660.0	1651.0	24161679.0	398431.0	60642047.0	Africa
2022-04-16	South Africa	3739192	0.0	100142.0	0.0	3626109.0	0.0	12941.0	175.0	61660.0	1651.0	24161679.0	398431.0	60642047.0	Africa
