Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Sudan	61955	0.0	4907.0	0.0	0	0	0	0	1357.0	108.0	562941.0	12334.0	45640385.0	Africa
2022-04-03	Sudan	61955	0.0	4907.0	0.0	0	0	0	0	1357.0	108.0	562941.0	12334.0	45643190.0	Africa
2022-04-04	Sudan	61955	0.0	4907.0	0.0	0	0	0	0	1357.0	108.0	562941.0	12333.0	45645995.0	Africa
2022-04-05	Sudan	61966	11.0	4907.0	0.0	0	0	0	0	1357.0	107.0	562941.0	12332.0	45648799.0	Africa
2022-04-06	Sudan	61987	21.0	4907.0	0.0	0	0	0	0	1358.0	107.0	562941.0	12331.0	45651604.0	Africa
2022-04-07	Sudan	61987	0.0	4907.0	0.0	0	0	0	0	1358.0	107.0	562941.0	12330.0	45654409.0	Africa
2022-04-08	Sudan	61987	0.0	4907.0	0.0	0	0	0	0	1358.0	107.0	562941.0	12330.0	45657214.0	Africa
2022-04-09	Sudan	61987	0.0	4907.0	0.0	0	0	0	0	1358.0	107.0	562941.0	12329.0	45660018.0	Africa
2022-04-10	Sudan	61987	0.0	4920.0	0.0	0	0	0	0	1357.0	108.0	562941.0	12328.0	45662823.0	Africa
2022-04-11	Sudan	61987	0.0	4920.0	0.0	0	0	0	0	1357.0	108.0	562941.0	12327.0	45665628.0	Africa
2022-04-12	Sudan	62034	0.0	4925.0	0.0	0	0	0	0	1358.0	108.0	562941.0	12327.0	45668432.0	Africa
2022-04-13	Sudan	62057	23.0	4929.0	4.0	0	0	0	0	1359.0	108.0	562941.0	12326.0	45671237.0	Africa
2022-04-14	Sudan	62057	0.0	4929.0	0.0	0	0	0	0	1359.0	108.0	562941.0	12325.0	45674042.0	Africa
2022-04-15	Sudan	62057	0.0	4929.0	0.0	0	0	0	0	1359.0	108.0	562941.0	12325.0	45674042.0	Africa
2022-04-16	Sudan	62057	0.0	4929.0	0.0	0	0	0	0	1359.0	108.0	562941.0	12325.0	45674042.0	Africa
