Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Taiwan	23629	236.0	853.0	0.0	20372.0	62.0	2404.0	0	989.0	36.0	12782853.0	535021.0	23892241.0	Asia
2022-04-03	Taiwan	24032	403.0	853.0	0.0	20435.0	63.0	2744.0	0	1006.0	36.0	12840107.0	537415.0	23892359.0	Asia
2022-04-04	Taiwan	24310	278.0	853.0	0.0	20510.0	75.0	2947.0	0	1017.0	36.0	12881839.0	539159.0	23892476.0	Asia
2022-04-05	Taiwan	24585	275.0	853.0	0.0	20549.0	39.0	3183.0	0	1029.0	36.0	12913337.0	540474.0	23892594.0	Asia
2022-04-06	Taiwan	24866	281.0	853.0	0.0	20639.0	90.0	3374.0	0	1041.0	36.0	12953471.0	542152.0	23892711.0	Asia
2022-04-07	Taiwan	25225	359.0	853.0	0.0	20730.0	91.0	3642.0	0	1056.0	36.0	13000933.0	544135.0	23892828.0	Asia
2022-04-08	Taiwan	25756	531.0	853.0	0.0	20805.0	75.0	4098.0	0	1078.0	36.0	13066514.0	546877.0	23892946.0	Asia
2022-04-09	Taiwan	26258	502.0	853.0	0.0	20931.0	126.0	4474.0	0	1099.0	36.0	13139647.0	549936.0	23893063.0	Asia
2022-04-10	Taiwan	26835	577.0	854.0	1.0	21052.0	121.0	4929.0	0	1123.0	36.0	13210024.0	552878.0	23893181.0	Asia
2022-04-11	Taiwan	27410	575.0	854.0	0.0	21148.0	96.0	5408.0	0	1147.0	36.0	13275357.0	555610.0	23893298.0	Asia
2022-04-12	Taiwan	28660	657.0	854.0	0.0	21334.0	97.0	6472.0	0	1199.0	36.0	13396458.0	560676.0	23893416.0	Asia
2022-04-13	Taiwan	29592	932.0	854.0	0.0	21473.0	139.0	7265.0	0	1238.0	36.0	13482923.0	564292.0	23893533.0	Asia
2022-04-14	Taiwan	30573	981.0	854.0	0.0	21473.0	0.0	8246.0	0	1280.0	36.0	13482923.0	564289.0	23893650.0	Asia
2022-04-15	Taiwan	31857	1284.0	854.0	0.0	21712.0	239.0	9291.0	0	1333.0	36.0	13628015.0	570361.0	23893650.0	Asia
2022-04-16	Taiwan	31857	0.0	854.0	0.0	21712.0	0.0	9291.0	0	1333.0	36.0	13628015.0	570361.0	23893650.0	Asia
